Date,City,Temperature (°C),Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Wind Speed (m/s),Max Wind Speed (m/s),Min Wind Speed (m/s),Estimated Solar Energy Consumption (kWh),Year,Month
2014-03-10,Toronto,9.43,11.93,7.78,3.23,10.44,15.59,4.37,8.323200000000002e-06,2014,3
2014-03-10,Vancouver,6.86,8.99,4.36,2.47,12.25,13.91,8.16,5.832000000000001e-05,2014,3
2014-03-10,Winnipeg,11.27,13.1,5.45,1.79,8.99,10.38,7.44,0.0001048352,2014,3
2014-03-11,Toronto,2.26,5.65,-0.44,0.75,8.84,14.11,4.68,9.912320000000002e-05,2014,3
2014-03-11,Ottawa,9.71,11.64,7.02,0.25,8.79,10.79,7.58,3.01088e-05,2014,3
2014-03-13,Winnipeg,-0.34,0.43,-1.12,0.54,10.7,12.01,8.86,2.42208e-05,2014,3
2014-03-13,Halifax,6.24,7.87,5.09,3.61,7.77,9.17,6.58,7.6832e-06,2014,3
2014-03-14,Montreal,9.13,12.67,4.7,0.7,9.34,14.37,4.48,0.00014112,2014,3
2014-03-14,Quebec City,-1.55,0.54,-2.73,6.27,10.39,14.43,6.15,2.0995200000000005e-05,2014,3
2014-03-14,Halifax,1.39,2.49,0.78,0.25,7.68,8.82,6.79,6.48e-06,2014,3
2014-03-15,Toronto,-0.38,0.81,-1.6,0.67,9.67,11.24,8.55,3.7324800000000006e-05,2014,3
2014-03-15,Vancouver,0.42,1.81,-1.89,0.19,8.96,12.16,7.4,8.9888e-06,2014,3
2014-03-15,Montreal,-0.5,2.17,-5.12,0.16,9.41,12.11,6.84,3.66368e-05,2014,3
2014-03-15,Halifax,2.42,5.98,-3.53,11.37,9.77,16.15,3.89,3.699200000000001e-06,2014,3
2014-03-16,Toronto,-5.14,-3.69,-5.9,2.0,11.09,14.66,5.83,0.0001384448,2014,3
2014-03-16,Vancouver,-3.18,0.2,-4.95,3.52,10.89,14.56,5.17,2.64992e-05,2014,3
2014-03-16,Montreal,-5.8,-4.65,-6.52,2.05,9.14,12.67,7.66,6.272e-05,2014,3
2014-03-16,Winnipeg,-6.97,-6.14,-7.6,1.63,8.89,10.82,6.98,0.0001083392,2014,3
2014-03-17,Edmonton,3.08,4.93,0.98,1.7,10.88,14.6,6.84,1.52352e-05,2014,3
2014-03-17,Winnipeg,1.0,2.69,-0.67,1.5,9.64,11.55,6.3,2.76768e-05,2014,3
2014-03-19,Montreal,-7.01,-4.57,-10.81,1.79,9.86,12.82,7.15,0.0001107072,2014,3
2014-03-19,Halifax,0.25,6.47,-6.23,1.96,8.61,16.09,4.53,0.0001318688,2014,3
2014-03-20,Toronto,4.55,8.74,1.45,1.01,9.53,16.29,4.34,0.0002841728,2014,3
2014-03-20,Winnipeg,-0.69,3.05,-6.88,0.5,10.82,14.1,5.78,0.0003569792,2014,3
2014-03-20,Hamilton,4.31,6.79,1.02,0.36,8.58,13.86,5.69,0.0005274752,2014,3
2014-03-20,Halifax,0.7,7.73,-6.11,3.93,11.62,15.67,6.48,0.0002,2014,3
2014-03-23,Winnipeg,5.25,7.38,1.68,7.11,10.05,16.72,5.04,5.575680000000001e-05,2014,3
2014-03-24,Toronto,9.39,11.02,6.68,13.43,10.21,13.17,4.61,4.6080000000000006e-05,2014,3
2014-03-24,Winnipeg,3.91,6.34,-0.53,1.77,7.86,9.0,6.46,0.0002672672,2014,3
2014-03-28,Edmonton,5.1,6.48,3.78,0.6,8.57,10.02,6.49,0.0006595712,2014,3
2014-04-06,Hamilton,24.02,27.42,20.87,9.48,7.36,13.83,2.11,0.0003195392,2014,4
2014-04-09,Calgary,23.93,27.69,19.86,4.15,7.68,15.02,2.07,0.0003155072,2014,4
2014-04-11,Montreal,16.92,18.09,16.36,4.81,10.39,11.64,8.66,3.461120000000001e-05,2014,4
2014-04-11,Calgary,17.18,17.91,15.37,1.1,9.6,10.58,8.52,0.0002437632,2014,4
2014-04-13,Ottawa,11.81,13.0,8.86,8.39,8.11,9.01,7.33,8.652800000000003e-06,2014,4
2014-04-13,Edmonton,8.44,11.03,6.26,2.7,9.87,11.62,8.23,0.0002264192,2014,4
2014-04-14,Toronto,5.63,6.99,3.98,3.97,9.42,12.23,6.5,5.9168e-06,2014,4
2014-04-15,Winnipeg,8.45,12.35,5.51,1.16,9.27,10.1,8.53,0.0002822688,2014,4
2014-04-16,Ottawa,2.42,3.82,0.6,2.26,13.26,14.96,9.04,4.0140800000000014e-05,2014,4
2014-04-16,Edmonton,1.39,2.58,0.22,0.27,13.04,13.94,10.42,9.35712e-05,2014,4
2014-04-17,Edmonton,5.49,8.15,4.59,3.27,9.76,11.58,7.18,4.53152e-05,2014,4
2014-04-17,Quebec City,4.37,6.08,2.91,2.23,9.12,11.19,6.63,6.635519999999998e-05,2014,4
2014-04-18,Montreal,0.41,1.63,-0.29,0.27,10.01,12.49,7.67,2.048e-05,2014,4
2014-04-18,Quebec City,1.57,2.85,0.17,4.39,8.79,12.67,7.09,1.52352e-05,2014,4
2014-04-18,Winnipeg,-0.79,0.7,-4.19,0.09,9.05,10.53,6.68,1.61312e-05,2014,4
2014-04-18,Hamilton,-4.85,-2.83,-6.2,0.2,11.64,14.42,8.16,0.0001013888,2014,4
2014-04-18,Halifax,-6.2,-5.23,-7.33,1.55,12.27,16.95,6.24,6.635519999999998e-05,2014,4
2014-04-19,Ottawa,-0.88,1.77,-3.94,0.21,11.29,14.89,8.28,6.45248e-05,2014,4
2014-04-20,Vancouver,1.36,4.85,-0.33,1.56,9.66,11.61,8.32,1.1520000000000002e-05,2014,4
2014-04-20,Ottawa,0.01,1.02,-0.85,1.21,9.12,11.03,7.71,4.15872e-05,2014,4
2014-04-20,Edmonton,2.13,4.63,-0.82,1.7,9.96,12.81,6.23,2.8275199999999997e-05,2014,4
2014-04-20,Halifax,-1.07,2.98,-5.18,2.37,12.12,14.92,3.88,2.4780800000000005e-05,2014,4
2014-04-21,Toronto,-5.53,-4.76,-7.07,0.41,10.5,14.13,7.91,4.0140800000000014e-05,2014,4
2014-04-21,Edmonton,1.72,6.76,-0.99,8.1,10.33,17.9,6.68,5.9168e-06,2014,4
2014-04-21,Quebec City,3.9,7.02,0.53,2.83,10.62,18.06,5.56,8.502080000000001e-05,2014,4
2014-04-23,Vancouver,2.53,3.54,0.96,1.54,8.98,10.43,6.75,3.7324800000000006e-05,2014,4
2014-04-23,Montreal,0.79,2.13,-0.16,0.76,10.09,11.25,9.2,7.688000000000001e-05,2014,4
2014-04-23,Calgary,-0.02,0.97,-0.89,0.62,9.87,11.25,8.47,1.1520000000000002e-05,2014,4
2014-04-23,Halifax,-5.1,-4.04,-5.96,1.33,9.14,10.26,8.19,0.0001438208,2014,4
2014-04-24,Toronto,-3.37,-0.38,-6.15,1.16,9.16,10.83,7.79,0.0001722367999999,2014,4
2014-04-24,Vancouver,0.37,2.44,-2.39,0.55,9.81,12.1,5.55,1.9971200000000003e-05,2014,4
2014-04-24,Calgary,2.33,7.04,0.84,8.37,9.12,14.06,4.25,7.6832e-06,2014,4
2014-04-24,Hamilton,1.16,2.39,-0.23,7.65,7.69,14.77,2.92,1.8e-05,2014,4
2014-04-24,Halifax,-1.67,-0.47,-2.81,0.89,7.92,14.41,2.71,8.502080000000001e-05,2014,4
2014-04-26,Montreal,-0.02,2.18,-1.97,0.99,9.15,13.17,6.93,0.0003987487999999,2014,4
2014-04-26,Edmonton,7.92,11.63,-0.7,12.12,10.57,14.72,7.85,5.918720000000001e-05,2014,4
2014-04-26,Quebec City,-3.3,-1.04,-5.48,0.75,10.13,14.18,6.5,0.0004310048,2014,4
2014-04-27,Montreal,4.12,8.73,0.97,1.11,11.65,17.35,6.98,0.0005725728,2014,4
2014-04-27,Ottawa,-4.07,0.08,-6.92,0.24,10.17,13.26,4.77,0.0003463712,2014,4
2014-04-27,Hamilton,-5.86,-4.77,-6.8,3.18,10.36,11.09,9.48,0.0001562912,2014,4
2014-04-27,Halifax,-5.14,-2.73,-7.27,2.06,12.37,14.17,9.22,0.0003548448,2014,4
2014-04-28,Toronto,-2.05,1.69,-5.14,0.49,8.57,10.46,6.84,0.0009193472,2014,4
2014-04-29,Edmonton,3.0,4.15,1.88,9.5,8.8,11.67,6.93,4.380480000000001e-05,2014,4
2014-04-30,Montreal,2.29,4.42,0.71,9.05,10.9,13.39,7.28,0.000578,2014,4
2014-05-01,Edmonton,5.73,6.99,4.72,20.11,7.8,10.48,4.7,3.80192e-05,2014,5
2014-05-03,Toronto,6.5,8.48,5.13,20.73,8.23,9.3,7.2,7.787520000000002e-05,2014,5
2014-05-05,Toronto,10.9,12.3,9.84,21.69,6.18,8.27,2.61,8.08992e-05,2014,5
2014-05-07,Halifax,20.29,21.97,18.05,20.24,5.5,9.72,2.27,0.0002526752,2014,5
2014-05-15,Montreal,20.79,24.59,16.79,5.35,9.75,12.52,6.57,0.0007342112,2014,5
2014-05-17,Winnipeg,15.34,19.36,10.8,2.84,7.2,14.02,1.35,0.0001506848,2014,5
2014-05-18,Quebec City,19.42,21.53,16.84,1.37,7.26,13.98,2.57,0.0003256352,2014,5
2014-05-18,Winnipeg,18.42,21.02,16.49,20.94,3.59,6.55,1.05,0.00023328,2014,5
2014-05-19,Calgary,16.95,21.51,9.72,2.31,10.6,14.2,4.98,5.74592e-05,2014,5
2014-05-20,Montreal,14.67,17.44,11.78,3.73,10.82,13.07,8.03,0.0001782272,2014,5
2014-05-20,Hamilton,8.54,9.95,7.1,1.1,12.23,13.47,10.35,8.08992e-05,2014,5
2014-05-21,Hamilton,5.79,9.79,-0.03,0.46,8.94,13.77,4.84,5.74592e-05,2014,5
2014-05-22,Edmonton,5.22,8.34,1.51,1.73,10.36,11.99,7.38,3.66368e-05,2014,5
2014-05-22,Hamilton,2.81,4.29,0.69,7.51,9.95,12.65,7.22,6.006080000000002e-05,2014,5
2014-05-22,Halifax,3.57,6.62,0.33,0.75,8.94,9.88,6.86,7.00928e-05,2014,5
2014-05-23,Toronto,6.97,9.94,4.28,2.26,9.69,12.57,5.04,0.0001634432,2014,5
2014-05-24,Ottawa,7.09,9.6,1.93,4.48,11.9,14.39,8.9,1.1520000000000002e-05,2014,5
2014-05-24,Edmonton,1.76,3.45,0.17,0.53,11.75,13.65,9.6,0.00014112,2014,5
2014-05-24,Quebec City,0.02,0.79,-0.77,0.21,8.92,9.93,7.39,9.031679999999998e-05,2014,5
2014-05-24,Winnipeg,0.0,1.24,-1.75,0.36,10.18,13.55,6.61,5.74592e-05,2014,5
2014-05-25,Hamilton,4.1,5.27,2.62,2.42,10.36,13.55,7.1,4.0140800000000014e-05,2014,5
2014-05-26,Ottawa,-3.48,-0.09,-7.73,1.89,11.51,13.95,1.61,9.248e-05,2014,5
2014-05-26,Edmonton,-9.03,-8.02,-9.89,0.21,11.14,13.02,9.27,9.031679999999998e-05,2014,5
2014-05-27,Montreal,-7.05,-6.08,-8.11,0.35,12.27,14.45,8.44,4.0140800000000014e-05,2014,5
2014-05-27,Calgary,-5.98,-4.38,-8.31,0.39,10.13,11.51,6.41,3.7324800000000006e-05,2014,5
2014-05-27,Edmonton,-13.35,-12.3,-14.1,1.58,10.4,10.81,9.78,9.031679999999998e-05,2014,5
2014-05-27,Winnipeg,-7.7,-1.5,-13.88,1.14,9.65,12.48,4.14,1.52352e-05,2014,5
2014-05-27,Hamilton,0.72,2.17,-1.15,4.62,10.01,12.25,8.2,1.11392e-05,2014,5
2014-05-28,Montreal,1.76,8.79,-6.8,9.73,10.08,12.46,5.44,1.23008e-05,2014,5
2014-05-28,Hamilton,-4.04,-1.75,-5.62,0.61,10.15,13.18,8.45,2.0995200000000005e-05,2014,5
2014-05-28,Halifax,-0.69,1.92,-3.3,0.53,10.57,14.67,8.9,0.0001663488,2014,5
2014-05-29,Toronto,2.07,4.28,0.24,0.99,9.4,14.99,5.0,0.00010952,2014,5
2014-05-29,Winnipeg,4.08,6.03,1.0,1.42,9.67,12.47,6.8,3.2643200000000006e-05,2014,5
2014-05-30,Ottawa,-4.93,-0.61,-8.07,1.4,9.33,10.27,7.4,0.0001191967999999,2014,5
2014-06-01,Quebec City,4.43,7.7,0.49,5.17,9.85,12.91,6.59,0.0006187499999999,2014,6
2014-06-02,Vancouver,0.83,2.83,-1.0,4.42,10.04,11.44,8.35,0.0004338224,2014,6
2014-06-02,Montreal,-0.19,3.01,-2.41,0.67,7.77,8.76,6.46,0.0008909999999999,2014,6
2014-06-02,Calgary,-1.17,1.67,-3.27,0.1,7.32,8.05,6.51,0.0009595916,2014,6
2014-06-03,Calgary,-0.69,0.74,-2.56,1.26,9.54,11.38,7.22,0.0002662704,2014,6
2014-06-03,Edmonton,-2.98,-0.72,-5.29,0.22,8.83,10.08,7.03,0.0009269963999999,2014,6
2014-06-05,Toronto,3.44,6.51,-0.14,2.56,8.22,14.16,3.82,0.0006830384,2014,6
2014-06-05,Ottawa,1.8,6.46,-1.63,11.35,12.84,19.04,2.48,0.0004997036,2014,6
2014-06-06,Ottawa,0.11,2.7,-1.86,11.71,11.88,14.85,6.16,4.225760000000001e-05,2014,6
2014-06-06,Edmonton,0.19,2.86,-1.53,13.85,14.31,15.57,13.28,6.875e-05,2014,6
2014-06-06,Quebec City,2.69,4.05,1.5,23.85,7.15,11.54,2.65,0.0001724976,2014,6
2014-06-06,Winnipeg,0.8,1.76,-0.74,2.77,7.74,8.39,6.68,0.00050864,2014,6
2014-06-07,Montreal,7.25,12.56,2.5,0.01,1.88,2.92,1.15,0.0024749999999999,2014,6
2014-06-08,Ottawa,10.62,17.68,6.92,6.44,7.97,17.49,2.55,0.0008752304,2014,6
2014-06-08,Winnipeg,9.59,13.35,6.28,0.87,3.38,5.16,1.45,0.0025952256,2014,6
2014-06-08,Hamilton,11.31,17.19,7.1,0.9,1.94,3.61,0.14,0.0024684044,2014,6
2014-06-09,Quebec City,11.36,14.71,8.0,1.25,2.54,4.68,0.58,0.0024552396,2014,6
2014-06-09,Winnipeg,13.96,19.4,10.22,0.1,3.56,7.14,1.48,0.0026359344,2014,6
2014-06-09,Hamilton,9.55,11.22,7.77,1.27,7.47,8.86,6.09,0.0024882176,2014,6
2014-06-10,Calgary,14.66,20.41,9.11,0.39,3.7,4.76,3.04,0.0027044864,2014,6
2014-06-10,Ottawa,16.5,23.09,11.04,0.02,3.27,5.39,0.62,0.0024948396,2014,6
2014-06-10,Edmonton,16.31,20.92,12.07,0.12,5.96,7.47,4.09,0.0026495743999999,2014,6
2014-06-10,Hamilton,20.89,27.99,14.38,0.26,2.47,3.67,1.36,0.0025481324,2014,6
2014-06-10,Halifax,17.78,20.5,15.35,0.14,4.68,5.74,3.52,0.0027879104,2014,6
2014-06-11,Toronto,18.93,23.28,14.37,0.27,4.31,5.98,2.55,0.0024684044,2014,6
2014-06-11,Halifax,16.97,21.37,12.66,0.9,2.65,4.9,0.62,0.0024882176,2014,6
2014-06-12,Montreal,15.43,18.27,12.25,1.99,5.23,6.56,3.1,0.0027739184,2014,6
2014-06-12,Calgary,18.46,23.07,13.26,0.6,2.79,3.61,1.49,0.00278091,2014,6
2014-06-12,Edmonton,16.98,19.99,14.23,1.05,6.83,8.8,4.14,0.00325424,2014,6
2014-06-12,Quebec City,18.36,23.86,12.94,0.57,2.71,4.24,0.26,0.0030165696,2014,6
2014-06-13,Toronto,19.2,22.45,16.52,1.86,2.87,5.44,0.42,0.0026291276,2014,6
2014-06-13,Montreal,17.79,20.61,15.41,0.27,4.57,6.31,2.95,0.0027879104,2014,6
2014-06-13,Quebec City,18.89,22.65,15.14,0.99,3.26,6.21,0.79,0.0033227084,2014,6
2014-06-13,Winnipeg,18.3,21.0,14.62,0.01,4.04,5.51,3.13,0.0026907056,2014,6
2014-06-14,Toronto,23.08,27.78,18.52,0.58,3.74,5.44,1.69,0.00285131,2014,6
2014-06-14,Montreal,24.86,27.96,21.39,0.72,4.56,5.79,3.62,0.0029154224,2014,6
2014-06-14,Ottawa,23.74,27.25,19.39,2.33,2.83,3.75,2.35,0.0031120364,2014,6
2014-06-14,Edmonton,24.77,27.96,20.92,0.32,2.69,3.85,1.71,0.00274604,2014,6
2014-06-14,Winnipeg,21.39,24.35,18.31,0.53,7.33,8.58,6.11,0.0033533676,2014,6
2014-06-14,Hamilton,21.06,24.03,16.76,0.11,2.58,5.76,1.16,0.0031194416,2014,6
2014-06-14,Halifax,22.87,25.62,19.44,0.1,3.24,4.79,2.04,0.0029154224,2014,6
2014-06-15,Toronto,24.03,28.45,18.64,0.13,5.69,6.89,4.93,0.0030751423999999,2014,6
2014-06-15,Vancouver,23.99,27.51,20.78,0.63,4.89,6.52,3.36,0.0027183024,2014,6
2014-06-15,Montreal,23.28,26.42,19.95,0.15,2.65,6.28,0.52,0.0026019884,2014,6
2014-06-15,Hamilton,24.1,26.94,20.34,1.19,6.35,7.97,4.13,0.0026701004,2014,6
2014-06-15,Halifax,21.98,24.74,19.53,1.35,3.2,5.99,0.29,0.00267696,2014,6
2014-06-16,Toronto,22.28,25.4,19.05,1.29,2.74,5.65,0.53,0.0028939723999999,2014,6
2014-06-21,Montreal,17.02,17.27,16.67,0.17,9.9,11.06,8.47,0.00019404,2014,6
2014-06-22,Ottawa,23.71,28.64,17.3,4.68,10.35,14.7,3.29,0.0007984944,2014,6
2014-06-22,Winnipeg,17.84,20.29,15.04,1.55,8.46,10.17,6.63,0.0004477484,2014,6
2014-06-24,Ottawa,17.4,20.43,11.26,0.26,8.36,9.62,6.55,0.0002450623999999,2014,6
2014-06-24,Halifax,9.87,13.2,6.7,0.19,9.16,11.05,7.61,0.00058619,2014,6
2014-06-25,Toronto,8.87,10.96,5.98,0.71,9.59,11.14,7.92,0.0002794176,2014,6
2014-06-25,Montreal,12.14,14.86,9.17,0.1,11.05,14.12,9.7,0.0001555136,2014,6
2014-06-25,Calgary,9.84,12.33,6.86,2.59,8.25,13.91,2.84,0.0002513324,2014,6
2014-06-27,Toronto,10.26,13.62,8.82,5.53,10.38,15.09,4.43,0.0001813195999999,2014,6
2014-06-27,Vancouver,6.99,8.74,4.56,0.78,9.92,12.02,7.98,6.875e-05,2014,6
2014-06-27,Ottawa,1.44,4.2,-1.45,1.33,11.34,14.27,6.7,0.0001332144,2014,6
2014-06-28,Edmonton,-1.89,2.08,-6.46,0.83,10.38,12.76,6.42,0.0001622016,2014,6
2014-06-29,Vancouver,1.58,2.86,0.62,5.63,10.27,11.02,8.21,2.9585600000000004e-05,2014,6
2014-06-29,Montreal,1.47,3.08,0.45,3.14,9.86,11.11,6.99,7.322040000000001e-05,2014,6
2014-06-30,Toronto,0.88,2.5,-1.14,0.64,9.11,10.74,6.82,2.8868400000000006e-05,2014,6
2014-07-02,Quebec City,0.4,7.7,-4.78,2.93,8.24,13.96,3.21,0.0001169035999999,2014,7
2014-07-03,Montreal,-1.01,5.66,-4.31,2.8,9.7,14.54,6.01,1.1897600000000004e-05,2014,7
2014-07-03,Calgary,4.12,7.01,2.24,2.88,5.44,14.43,0.3,3.48524e-05,2014,7
2014-07-03,Ottawa,0.07,2.49,-2.58,3.17,10.64,12.39,8.25,8.997559999999999e-05,2014,7
2014-07-03,Edmonton,-4.46,-2.84,-6.7,0.89,10.38,12.45,8.08,0.0002071916,2014,7
2014-07-04,Ottawa,-7.55,-5.15,-9.07,3.09,9.26,11.82,6.63,2.67696e-05,2014,7
2014-07-04,Edmonton,-12.68,-9.96,-15.7,4.0,12.34,13.04,11.58,0.0002368256,2014,7
2014-07-05,Toronto,-5.49,-2.2,-8.15,0.97,11.58,13.13,10.12,0.0001977536,2014,7
2014-07-05,Ottawa,-5.06,0.81,-10.87,3.15,10.71,13.26,6.95,0.0001885356,2014,7
2014-07-05,Edmonton,-14.0,-11.07,-16.66,0.82,12.28,15.16,9.17,0.0001571724,2014,7
2014-07-05,Quebec City,-13.69,-12.15,-16.46,0.69,11.94,13.94,7.85,0.0002598156,2014,7
2014-07-06,Ottawa,-2.91,4.81,-7.63,0.49,14.63,16.47,11.69,0.0001655983999999,2014,7
2014-07-06,Hamilton,-1.32,1.53,-4.74,11.53,10.49,13.85,5.54,2.8160000000000008e-05,2014,7
2014-07-06,Halifax,-1.96,1.2,-3.37,2.56,12.75,15.04,9.5,0.0001183424,2014,7
2014-07-07,Vancouver,0.48,3.15,-3.25,2.56,10.09,13.79,4.47,0.0001084556,2014,7
