Date,City,Solar Irradiance (W/m²),Sunlight Hours,Temperature (°C),Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Wind Speed (m/s),Max Wind Speed (m/s),Min Wind Speed (m/s)
2014-01-03,Toronto,1.9,0.0095,-14.55,-12.91,-16.5,0.22,5.15,5.9,4.1
2014-01-03,Vancouver,1.81,0.009049999999999999,-15.11,-12.38,-18.1,0.2,2.71,4.03,1.3
2014-01-03,Montreal,1.8,0.009,-13.57,-12.03,-16.36,0.79,4.45,8.41,0.39
2014-01-03,Calgary,1.2,0.005999999999999999,-10.89,-7.03,-16.45,0.34,12.0,16.47,4.26
2014-01-03,Ottawa,1.15,0.00575,-6.29,-2.63,-10.89,1.84,12.52,15.65,8.65
2014-01-03,Edmonton,1.19,0.0059499999999999996,-8.91,-3.0,-12.2,0.61,8.05,10.54,6.55
2014-01-03,Quebec City,1.95,0.00975,-8.92,-3.3,-13.79,1.89,10.78,14.52,7.05
2014-01-03,Winnipeg,1.93,0.009649999999999999,-13.0,-11.05,-15.55,0.18,10.98,11.99,9.71
2014-01-03,Hamilton,1.79,0.008950000000000001,-10.42,-7.62,-13.47,0.14,11.97,14.13,9.37
2014-01-03,Halifax,1.9,0.0095,-4.47,-1.12,-8.14,0.25,10.3,12.72,8.36
2014-01-04,Toronto,1.46,0.007299999999999999,-1.0,0.52,-1.73,0.04,6.31,13.15,2.44
2014-01-04,Vancouver,0.56,0.0028000000000000004,-0.4,0.93,-2.36,7.3,4.59,7.64,2.77
2014-01-04,Montreal,0.99,0.0049499999999999995,-2.21,0.81,-4.95,2.84,5.0,6.51,3.58
2014-01-04,Calgary,2.4,0.011999999999999999,-5.55,-4.31,-7.62,1.44,3.5,4.15,2.82
2014-01-04,Ottawa,1.9,0.0095,-6.33,-4.1,-9.16,0.38,2.84,5.26,0.72
2014-01-04,Edmonton,0.41,0.0020499999999999997,-5.57,-3.34,-11.51,5.36,9.23,12.36,5.7
2014-01-04,Quebec City,1.43,0.007149999999999999,-8.57,-6.35,-11.89,2.12,6.64,10.5,2.44
2014-01-04,Winnipeg,1.77,0.00885,-10.16,-8.03,-11.82,0.2,10.66,11.57,9.34
2014-01-04,Hamilton,2.06,0.0103,-10.05,-8.14,-12.93,0.13,5.9,9.95,4.0
2014-01-04,Halifax,0.66,0.0033,-7.98,-6.97,-8.9,1.18,2.86,5.65,0.62
2014-01-05,Toronto,2.22,0.0111,-7.68,-6.13,-10.0,0.98,5.42,6.11,4.2
2014-01-05,Vancouver,1.72,0.0086,-9.97,-8.58,-10.88,0.52,4.08,5.8,0.86
2014-01-05,Montreal,2.48,0.0124,-9.56,-6.68,-13.18,0.87,3.79,5.41,1.73
2014-01-05,Calgary,2.26,0.0113,-5.63,-3.23,-8.74,0.31,4.09,6.0,0.17
2014-01-05,Ottawa,1.87,0.00935,-4.17,-1.19,-6.22,0.72,3.38,4.99,1.25
2014-01-05,Edmonton,2.65,0.01325,-7.94,-5.21,-11.99,0.74,5.24,6.55,3.13
2014-01-05,Quebec City,1.95,0.00975,-11.46,-8.57,-13.75,2.24,4.43,8.1,1.87
2014-01-05,Winnipeg,2.62,0.0131,-9.91,-3.95,-15.17,0.48,5.87,10.92,1.85
2014-01-05,Hamilton,1.76,0.0088,-2.71,-1.38,-3.97,3.25,7.97,9.85,4.15
2014-01-05,Halifax,2.15,0.01075,-0.25,1.76,-4.11,0.71,5.31,6.62,4.15
2014-01-06,Toronto,0.67,0.00335,-2.02,0.72,-5.37,7.43,5.98,9.49,1.92
2014-01-06,Vancouver,1.85,0.009250000000000001,1.82,3.19,-0.44,9.5,10.29,13.97,4.64
2014-01-06,Montreal,3.68,0.0184,-0.23,1.41,-2.22,0.89,11.15,14.86,6.88
2014-01-06,Calgary,3.32,0.0166,-4.08,-0.64,-6.5,0.58,7.44,9.96,5.99
2014-01-06,Ottawa,2.65,0.01325,-6.94,-5.75,-8.07,2.19,7.86,9.57,5.92
2014-01-06,Edmonton,2.68,0.0134,-7.66,-5.66,-10.23,0.36,6.86,10.94,5.74
2014-01-06,Quebec City,2.75,0.013749999999999998,-11.04,-9.3,-12.96,0.13,9.08,11.68,7.31
2014-01-06,Winnipeg,3.01,0.015049999999999997,-10.92,-7.75,-14.89,0.26,11.02,13.91,8.22
2014-01-06,Hamilton,3.88,0.0194,-13.68,-10.21,-17.47,0.08,4.01,7.46,2.18
2014-01-06,Halifax,1.64,0.008199999999999999,-5.73,-0.43,-9.66,1.76,5.96,8.66,3.88
2014-01-07,Toronto,2.22,0.0111,-10.71,-8.91,-13.58,2.43,5.93,6.89,4.8
2014-01-07,Vancouver,3.44,0.0172,-13.35,-10.97,-14.98,0.18,4.85,7.26,2.94
2014-01-07,Montreal,1.85,0.009250000000000001,-10.64,-7.38,-15.36,1.28,3.28,4.8,1.63
2014-01-07,Calgary,2.65,0.01325,-8.07,-5.96,-10.15,1.39,4.37,5.59,2.61
2014-01-07,Ottawa,3.65,0.01825,-7.85,-5.27,-11.08,2.0,6.26,7.35,5.16
2014-01-07,Edmonton,3.84,0.0192,-2.58,2.2,-7.08,0.03,4.14,5.74,2.6
2014-01-07,Quebec City,1.64,0.008199999999999999,-1.88,1.12,-6.5,1.34,5.36,8.89,3.69
2014-01-07,Winnipeg,3.26,0.0163,-4.49,-0.86,-9.31,0.12,6.04,8.31,3.84
2014-01-07,Hamilton,3.24,0.016200000000000003,1.3,4.24,-1.36,0.03,6.19,8.71,3.4
2014-01-07,Halifax,4.29,0.021450000000000004,2.86,8.21,0.12,0.01,3.44,5.65,1.59
2014-01-08,Toronto,0.61,0.0030499999999999998,-3.96,1.1,-10.65,5.08,9.94,14.07,3.31
2014-01-08,Vancouver,2.63,0.01315,-10.37,-6.19,-15.42,2.56,6.77,9.81,4.41
2014-01-08,Montreal,3.96,0.019799999999999998,0.48,6.43,-7.46,0.59,9.01,12.59,5.52
2014-01-08,Calgary,2.69,0.01345,-0.4,2.81,-6.27,0.91,8.73,11.08,6.87
2014-01-08,Ottawa,4.31,0.02155,-9.02,-6.61,-12.29,0.09,4.9,6.98,2.25
2014-01-08,Edmonton,4.47,0.022350000000000002,-8.96,-4.95,-13.62,0.09,4.63,6.0,3.15
2014-01-08,Quebec City,5.05,0.025249999999999998,-2.59,1.81,-7.4,0.24,4.93,6.69,2.94
2014-01-08,Winnipeg,1.2,0.005999999999999999,2.19,4.47,-0.41,3.69,5.86,9.44,4.33
2014-01-08,Hamilton,1.69,0.00845,0.87,2.39,-2.19,1.11,9.53,11.01,6.14
2014-01-08,Halifax,5.6,0.028,-1.26,2.37,-4.72,0.02,3.86,6.19,1.4
2014-01-09,Toronto,2.64,0.0132,0.32,2.56,-4.59,1.45,7.71,10.81,4.41
2014-01-09,Vancouver,5.64,0.0282,-6.6,-4.95,-8.45,0.06,6.47,9.22,5.03
2014-01-09,Montreal,4.16,0.020800000000000003,-6.38,-3.76,-9.08,0.05,4.55,5.4,3.22
2014-01-09,Calgary,3.73,0.01865,-4.07,-0.34,-7.18,1.62,6.39,9.69,2.74
2014-01-09,Ottawa,5.4,0.027000000000000003,-7.47,-4.75,-10.39,0.49,5.9,8.66,3.06
2014-01-09,Edmonton,2.82,0.0141,-1.91,2.61,-8.18,1.33,4.85,6.41,3.0
2014-01-09,Quebec City,1.32,0.0066,3.87,7.08,-0.92,3.56,8.52,12.21,4.01
2014-01-09,Winnipeg,1.08,0.0054,0.52,2.79,-1.48,2.32,6.33,8.74,3.52
2014-01-09,Hamilton,5.95,0.029750000000000002,1.27,5.75,-2.11,2.53,6.72,8.9,4.99
2014-01-09,Halifax,5.76,0.0288,3.07,7.88,-1.79,0.04,2.28,4.93,0.73
2014-01-10,Toronto,3.52,0.0176,3.01,7.52,0.32,0.08,5.62,7.55,3.36
2014-01-10,Vancouver,6.02,0.030099999999999995,1.17,5.65,-1.9,0.0,4.63,5.54,3.49
2014-01-10,Montreal,3.34,0.0167,-0.3,1.37,-2.4,0.09,4.7,7.57,2.54
2014-01-10,Calgary,0.88,0.0044,3.61,7.83,0.15,6.85,8.56,11.62,5.85
2014-01-10,Ottawa,4.57,0.022850000000000002,0.67,3.45,-3.79,1.74,9.01,12.14,4.43
2014-01-10,Edmonton,6.41,0.03205,1.12,6.39,-4.62,0.03,3.22,4.18,2.04
2014-01-10,Quebec City,2.55,0.01275,1.96,5.92,-1.22,7.8,5.09,8.48,3.64
2014-01-10,Winnipeg,4.35,0.02175,3.93,8.1,1.07,7.05,5.76,7.69,4.36
2014-01-10,Hamilton,6.64,0.0332,3.39,7.5,-0.51,0.11,3.74,6.4,2.06
2014-01-10,Halifax,5.58,0.0279,6.2,11.6,0.11,1.03,8.36,11.34,3.54
2014-01-11,Toronto,5.97,0.029849999999999998,5.78,10.31,1.72,1.01,2.54,4.83,0.19
2014-01-11,Vancouver,5.21,0.02605,6.42,12.3,2.16,3.47,3.9,8.23,0.31
2014-01-11,Montreal,4.1,0.020499999999999997,9.04,13.82,4.86,2.98,4.62,7.63,0.34
2014-01-11,Calgary,1.99,0.00995,9.67,13.62,3.07,4.66,8.34,11.4,3.09
2014-01-11,Ottawa,2.49,0.01245,-0.23,2.92,-3.4,8.51,8.34,10.23,3.25
2014-01-11,Edmonton,6.17,0.030850000000000002,-1.1,2.16,-4.72,1.66,4.12,7.7,1.21
2014-01-11,Quebec City,6.76,0.0338,3.44,7.18,-1.09,1.53,5.86,7.36,3.79
2014-01-11,Winnipeg,2.62,0.0131,5.68,9.05,1.78,0.17,4.51,7.59,2.46
2014-01-11,Hamilton,7.33,0.03665,3.88,8.35,-0.43,0.49,3.89,5.84,2.37
2014-01-11,Halifax,6.74,0.0337,5.28,10.92,1.46,0.17,3.08,4.08,2.06
2014-01-12,Toronto,4.88,0.024399999999999998,9.7,15.46,4.83,0.31,3.62,5.18,1.96
2014-01-12,Vancouver,3.94,0.0197,7.63,10.49,3.96,3.46,6.24,7.69,4.99
2014-01-12,Montreal,6.48,0.032400000000000005,4.03,6.75,1.08,4.08,7.84,10.07,5.89
2014-01-12,Calgary,7.44,0.037200000000000004,5.49,10.43,0.15,0.2,2.87,6.33,0.21
2014-01-12,Ottawa,2.95,0.014750000000000003,4.96,6.4,2.94,3.62,7.13,10.3,2.22
2014-01-12,Edmonton,3.07,0.015349999999999999,4.26,6.79,1.69,1.28,5.02,6.64,2.71
2014-01-12,Quebec City,6.9,0.0345,5.7,10.46,0.53,0.8,3.02,5.97,0.84
2014-01-12,Winnipeg,6.39,0.03195,5.49,7.83,2.39,0.07,5.42,7.39,2.76
2014-01-12,Hamilton,1.22,0.0060999999999999995,6.99,9.86,4.74,13.85,7.63,10.75,5.35
2014-01-12,Halifax,1.46,0.007299999999999999,6.41,7.95,5.62,9.42,5.47,7.48,1.56
2014-01-13,Toronto,4.82,0.024100000000000003,7.34,9.77,5.16,2.86,5.35,8.23,0.69
2014-01-13,Vancouver,2.85,0.01425,6.53,8.26,4.55,0.84,5.72,7.09,4.66
2014-01-13,Montreal,2.56,0.0128,6.92,9.15,5.01,2.07,6.31,8.1,4.44
2014-01-13,Calgary,6.68,0.0334,6.25,8.92,3.69,0.84,6.91,7.77,5.22
2014-01-13,Ottawa,5.49,0.027450000000000002,7.16,11.22,2.51,0.15,3.17,5.77,0.68
2014-01-13,Edmonton,7.76,0.0388,8.11,12.66,4.23,0.07,3.22,4.59,1.81
2014-01-13,Quebec City,5.2,0.026,6.49,8.79,4.24,0.41,5.48,6.23,4.19
2014-01-13,Winnipeg,5.64,0.0282,8.68,12.13,5.59,1.48,4.91,5.76,4.01
2014-01-13,Hamilton,4.41,0.02205,12.91,17.09,8.66,1.21,3.88,6.67,0.69
2014-01-13,Halifax,6.2,0.031,11.02,13.03,7.76,0.65,5.83,7.65,3.54
2014-01-14,Toronto,7.68,0.0384,11.28,16.68,5.53,0.04,3.65,4.44,2.14
2014-01-14,Vancouver,4.69,0.023450000000000002,14.0,17.69,11.28,0.84,2.3,3.26,1.71
2014-01-14,Montreal,5.73,0.028650000000000002,13.7,16.28,11.83,10.96,3.49,4.83,2.32
2014-01-14,Calgary,3.59,0.01795,13.63,18.06,10.5,9.55,3.18,5.11,0.79
2014-01-14,Ottawa,2.47,0.012350000000000002,12.57,14.69,9.12,8.62,5.65,8.26,3.51
2014-01-14,Edmonton,4.59,0.022949999999999998,8.46,11.63,4.85,6.61,3.7,4.99,2.35
2014-01-14,Quebec City,4.66,0.0233,7.01,9.47,4.06,0.11,3.45,4.16,2.91
2014-01-14,Winnipeg,5.84,0.029199999999999997,8.82,11.94,5.22,0.38,3.73,5.37,1.99
2014-01-14,Hamilton,5.86,0.029300000000000003,11.87,17.24,5.91,0.42,3.17,4.83,1.79
2014-01-14,Halifax,3.16,0.0158,10.78,13.68,9.47,3.41,2.9,4.14,1.23
2014-01-15,Toronto,5.34,0.0267,12.7,17.79,9.33,1.46,1.93,3.25,0.24
2014-01-15,Vancouver,6.24,0.0312,12.27,16.02,8.43,1.05,3.99,6.56,0.53
2014-01-15,Montreal,3.61,0.01805,9.87,12.16,6.97,2.23,4.4,5.01,3.91
2014-01-15,Calgary,7.66,0.0383,13.21,19.38,7.29,0.22,2.72,4.21,0.6
2014-01-15,Ottawa,7.87,0.03935,14.05,19.99,7.67,0.79,3.99,6.17,2.44
2014-01-15,Edmonton,7.24,0.036199999999999996,14.81,19.54,9.85,0.49,5.71,6.82,4.13
2014-01-15,Quebec City,5.13,0.02565,15.69,18.78,12.23,3.66,4.35,6.45,2.56
2014-01-15,Winnipeg,4.85,0.024249999999999997,11.4,13.53,9.39,0.85,3.97,4.5,3.21
2014-01-15,Hamilton,5.85,0.029249999999999998,11.85,14.49,9.06,1.68,2.99,3.83,0.38
2014-01-15,Halifax,7.16,0.035800000000000005,15.45,20.6,10.98,0.58,2.82,4.17,1.38
2014-01-16,Toronto,8.23,0.041150000000000006,14.4,17.77,10.66,0.01,3.44,4.32,2.89
2014-01-16,Vancouver,7.5,0.0375,15.24,20.86,9.53,0.03,2.88,3.57,1.89
2014-01-16,Montreal,6.02,0.030099999999999995,17.22,20.66,13.72,2.48,5.8,6.99,3.87
2014-01-16,Calgary,6.18,0.030899999999999997,16.94,20.53,12.5,9.3,6.08,8.68,2.18
2014-01-16,Ottawa,5.25,0.026250000000000002,14.49,18.47,11.42,1.26,4.0,4.9,2.24
2014-01-16,Edmonton,5.95,0.029750000000000002,12.87,15.76,9.66,0.34,4.65,5.89,2.98
2014-01-16,Quebec City,7.96,0.0398,16.19,22.32,9.76,0.0,2.82,5.44,1.73
2014-01-16,Winnipeg,8.57,0.04285,16.57,20.79,11.06,0.5,2.1,3.54,0.34
2014-01-16,Hamilton,2.01,0.010049999999999998,15.04,17.41,12.28,2.35,3.95,5.61,1.99
2014-01-16,Halifax,6.98,0.0349,17.33,19.54,13.63,2.42,3.9,6.97,0.08
2014-01-17,Toronto,5.72,0.028599999999999997,17.07,19.5,15.03,0.85,3.77,5.37,2.36
2014-01-17,Vancouver,3.82,0.0191,17.87,21.0,15.01,10.55,3.59,5.37,1.13
2014-01-17,Montreal,4.9,0.024500000000000004,18.81,21.09,16.71,3.14,4.75,6.19,3.43
2014-01-17,Calgary,4.05,0.020249999999999997,16.88,20.31,11.53,2.19,5.03,7.59,3.12
2014-01-17,Ottawa,6.5,0.0325,14.13,18.36,10.24,1.42,4.23,6.3,2.91
2014-01-17,Edmonton,8.42,0.0421,14.25,17.23,10.99,1.96,3.38,5.49,2.43
2014-01-17,Quebec City,6.21,0.03105,18.58,25.18,12.46,0.69,1.58,3.37,0.51
2014-01-17,Winnipeg,5.43,0.02715,19.12,22.44,16.01,9.34,5.13,9.8,0.37
2014-01-17,Hamilton,4.45,0.02225,18.75,23.57,14.59,3.24,2.58,5.07,1.15
2014-01-17,Halifax,8.24,0.0412,18.15,22.95,14.51,0.72,3.76,6.11,1.32
2014-01-18,Toronto,7.0,0.035,16.24,19.49,12.92,0.24,3.08,6.2,1.36
2014-01-18,Vancouver,8.02,0.0401,17.12,20.31,13.4,0.0,2.72,4.36,1.05
2014-01-18,Montreal,7.79,0.03895,18.45,21.65,14.71,0.17,2.56,4.29,1.05
2014-01-18,Calgary,4.68,0.0234,18.87,22.34,14.89,1.42,2.86,3.91,1.3
2014-01-18,Ottawa,4.8,0.023999999999999997,20.42,23.01,18.2,5.42,4.61,6.9,1.27
2014-01-18,Edmonton,3.39,0.01695,19.55,22.04,17.24,5.13,2.81,4.69,0.9
2014-01-18,Quebec City,7.35,0.03675,21.82,25.27,17.92,0.88,1.71,4.04,0.23
2014-01-18,Winnipeg,8.04,0.04019999999999999,21.22,24.37,17.5,0.7,3.08,4.57,1.85
2014-01-18,Hamilton,7.34,0.0367,22.72,26.55,18.79,0.07,2.69,3.7,1.28
2014-01-18,Halifax,6.47,0.032350000000000004,22.87,25.22,20.48,2.76,4.35,5.95,1.9
2014-01-19,Toronto,6.33,0.03165,23.11,25.45,20.48,1.01,4.9,6.49,3.44
2014-01-19,Vancouver,6.12,0.030600000000000002,22.9,25.13,20.83,1.57,6.53,11.13,3.79
2014-01-19,Montreal,5.95,0.029750000000000002,22.15,24.9,19.71,0.94,4.9,7.28,2.35
2014-01-19,Calgary,4.33,0.02165,19.12,22.95,15.0,1.68,4.02,9.24,1.3
2014-01-19,Ottawa,7.28,0.0364,18.1,21.2,13.93,0.98,5.26,6.65,3.82
2014-01-19,Edmonton,8.31,0.04155,19.41,23.52,13.87,1.19,5.19,6.61,2.92
2014-01-19,Quebec City,6.88,0.0344,20.73,23.91,17.2,0.14,6.94,9.86,5.23
2014-01-19,Winnipeg,4.44,0.0222,21.32,24.01,19.23,12.42,7.15,10.08,4.22
2014-01-19,Hamilton,3.29,0.01645,19.56,22.0,15.42,9.86,5.64,8.79,4.09
2014-01-19,Halifax,6.12,0.030600000000000002,17.4,19.83,14.99,3.24,4.12,5.7,2.96
2014-01-20,Toronto,6.97,0.03485,17.88,20.82,14.12,0.15,1.72,2.91,0.38
2014-01-20,Vancouver,7.88,0.0394,19.34,21.68,16.74,0.01,2.06,3.06,1.43
2014-01-20,Montreal,7.08,0.0354,21.27,24.54,17.79,0.24,2.91,4.81,0.95
2014-01-20,Calgary,5.06,0.025299999999999996,21.86,24.83,19.25,5.03,6.12,11.95,3.75
2014-01-20,Ottawa,4.3,0.0215,20.06,23.56,16.31,1.15,2.58,4.06,1.62
2014-01-20,Edmonton,6.11,0.03055,19.86,22.79,16.41,3.48,5.5,8.66,1.75
2014-01-20,Quebec City,5.2,0.026,17.59,20.33,14.95,1.39,4.59,5.99,3.18
2014-01-20,Winnipeg,6.39,0.03195,17.74,21.63,13.12,3.58,3.5,3.85,3.02
2014-01-20,Hamilton,7.43,0.03715,18.92,21.86,15.43,0.31,1.87,3.08,0.33
2014-01-20,Halifax,2.25,0.01125,18.33,19.57,17.19,4.15,3.51,4.89,2.71
2014-01-21,Toronto,3.88,0.0194,20.54,23.23,18.27,3.11,2.56,4.27,1.59
2014-01-21,Vancouver,7.03,0.03515,22.64,26.53,19.23,0.66,1.56,2.84,0.37
2014-01-21,Montreal,7.5,0.0375,22.84,26.04,19.02,0.23,3.72,5.89,0.66
2014-01-21,Calgary,4.12,0.0206,20.68,22.38,17.33,2.69,5.82,6.58,4.22
2014-01-21,Ottawa,7.85,0.03924999999999999,19.65,23.19,16.87,1.43,3.06,6.37,1.01
2014-01-21,Edmonton,7.12,0.0356,19.39,22.71,15.5,5.03,4.24,6.35,2.36
2014-01-21,Quebec City,5.16,0.025800000000000003,20.72,23.43,17.55,0.93,4.83,6.48,3.92
2014-01-21,Winnipeg,6.36,0.0318,21.54,24.99,18.98,11.36,4.58,6.5,2.66
2014-01-21,Hamilton,4.35,0.02175,17.24,18.78,14.52,21.48,7.78,11.23,5.29
2014-01-21,Halifax,4.79,0.02395,17.42,20.15,13.4,1.73,4.13,6.18,2.1
2014-01-22,Toronto,5.53,0.02765,19.16,21.44,17.23,2.26,3.77,5.7,2.62
2014-01-22,Vancouver,6.23,0.03115,19.01,22.16,16.06,7.79,3.27,5.18,0.69
2014-01-22,Montreal,6.17,0.030850000000000002,21.36,24.27,17.92,0.72,3.43,4.8,0.25
2014-01-22,Calgary,5.65,0.028250000000000004,21.49,23.96,18.63,3.72,1.3,2.19,0.75
2014-01-22,Ottawa,4.28,0.0214,20.2,21.7,18.99,1.32,1.9,3.92,0.39
2014-01-22,Edmonton,4.66,0.0233,21.63,24.74,18.17,3.41,3.59,4.27,2.8
2014-01-22,Quebec City,3.39,0.01695,20.84,23.41,18.55,2.95,1.89,3.27,0.27
2014-01-22,Winnipeg,6.42,0.032100000000000004,21.14,24.81,17.43,1.02,2.93,5.08,0.42
2014-01-22,Hamilton,6.47,0.032350000000000004,20.43,23.99,16.78,0.27,3.73,5.53,1.94
2014-01-22,Halifax,5.89,0.029449999999999997,20.46,23.2,17.07,0.27,1.89,4.71,0.58
2014-01-23,Toronto,6.93,0.03465,21.09,23.88,17.71,0.05,2.25,2.91,1.58
2014-01-23,Vancouver,6.94,0.0347,21.58,24.55,18.22,0.32,3.19,4.62,2.1
2014-01-23,Montreal,5.08,0.025400000000000002,22.21,25.51,19.09,4.7,5.17,9.6,3.39
2014-01-23,Calgary,3.89,0.019450000000000002,22.14,24.58,20.13,6.08,6.18,9.83,2.76
2014-01-23,Ottawa,4.94,0.024700000000000003,19.39,22.6,16.51,1.58,7.54,9.71,5.89
2014-01-23,Edmonton,4.24,0.0212,16.35,19.02,14.16,0.36,7.17,8.8,5.45
2014-01-23,Quebec City,5.33,0.02665,17.74,21.74,14.14,1.29,6.0,7.3,5.05
2014-01-23,Winnipeg,2.03,0.01015,18.72,21.93,16.34,2.61,7.7,12.53,5.13
2014-01-23,Hamilton,5.7,0.0285,19.07,23.08,15.2,0.58,3.18,5.44,1.01
2014-01-23,Halifax,6.22,0.0311,17.62,19.96,15.61,0.55,3.13,4.93,1.92
2014-01-24,Toronto,6.54,0.0327,18.04,20.48,14.91,1.64,3.86,5.24,3.01
2014-01-24,Vancouver,3.28,0.016399999999999998,20.31,22.74,18.12,1.86,2.33,3.8,0.63
2014-01-24,Montreal,4.93,0.02465,22.08,25.51,18.98,0.54,3.4,4.95,1.69
2014-01-24,Calgary,4.75,0.02375,20.82,23.24,18.25,0.1,2.67,3.87,0.56
2014-01-24,Ottawa,2.84,0.014199999999999997,20.38,22.38,18.53,0.04,4.48,5.88,3.13
2014-01-24,Edmonton,5.5,0.027499999999999997,20.53,22.79,18.06,0.43,4.4,5.67,3.54
2014-01-24,Quebec City,6.54,0.0327,21.59,24.77,18.7,0.1,3.01,3.53,2.37
2014-01-24,Winnipeg,5.68,0.028399999999999995,23.3,26.34,19.81,0.06,4.83,6.37,2.88
2014-01-24,Hamilton,5.49,0.027450000000000002,21.03,24.29,17.19,0.32,4.74,6.34,2.61
2014-01-24,Halifax,6.47,0.032350000000000004,18.64,22.38,15.27,0.1,4.92,5.61,3.85
2014-01-25,Toronto,5.46,0.027299999999999998,19.27,21.67,16.23,0.2,3.45,5.32,2.56
2014-01-25,Vancouver,4.95,0.02475,22.63,26.88,18.78,1.73,5.43,7.09,4.13
2014-01-25,Montreal,3.96,0.019799999999999998,23.04,25.48,20.95,1.11,5.52,7.22,1.83
2014-01-25,Calgary,4.04,0.020200000000000003,22.82,25.41,20.06,1.7,4.13,7.11,0.46
2014-01-25,Ottawa,1.93,0.009649999999999999,21.95,24.34,18.67,7.23,4.49,6.33,2.47
2014-01-25,Edmonton,5.67,0.02835,21.4,24.81,17.36,1.68,3.44,4.66,1.44
2014-01-25,Quebec City,5.75,0.028749999999999998,22.77,25.99,19.19,0.32,4.24,6.08,3.09
2014-01-25,Winnipeg,4.25,0.02125,23.67,26.63,21.2,14.18,6.74,8.98,5.43
2014-01-25,Hamilton,3.25,0.01625,19.5,21.87,16.74,7.4,5.38,6.97,3.36
2014-01-25,Halifax,6.3,0.0315,18.31,22.18,14.43,0.74,2.97,5.08,0.36
2014-01-26,Toronto,5.93,0.029649999999999996,19.53,22.03,16.24,0.59,4.46,5.87,3.27
2014-01-26,Vancouver,3.44,0.0172,19.51,20.56,18.84,0.13,4.48,7.58,1.27
2014-01-26,Montreal,2.69,0.01345,20.85,22.42,18.63,9.9,5.97,14.66,1.64
2014-01-26,Calgary,2.58,0.012900000000000002,17.12,21.76,12.79,3.8,8.16,12.21,4.09
2014-01-26,Ottawa,3.38,0.0169,13.5,15.62,12.09,0.14,3.57,5.09,1.89
2014-01-26,Edmonton,2.32,0.0116,13.49,15.65,11.47,2.0,6.14,9.65,3.69
2014-01-26,Quebec City,3.54,0.0177,13.49,15.72,11.25,1.09,2.98,4.0,0.24
2014-01-26,Winnipeg,2.63,0.01315,15.9,18.65,13.31,1.42,4.55,6.39,2.77
2014-01-26,Hamilton,5.17,0.02585,15.56,19.03,13.1,1.31,4.48,5.36,2.92
2014-01-26,Halifax,5.24,0.0262,15.92,18.93,12.72,0.3,4.25,5.21,3.31
2014-01-27,Toronto,3.54,0.0177,13.53,15.57,11.97,0.14,3.69,6.41,0.3
2014-01-27,Vancouver,5.14,0.025699999999999997,13.51,16.0,11.29,0.73,5.25,6.59,3.41
2014-01-27,Montreal,4.43,0.02215,19.04,21.99,15.31,0.61,8.15,10.07,6.09
2014-01-27,Calgary,4.19,0.02095,18.17,21.42,11.73,7.56,7.45,10.69,3.58
2014-01-27,Ottawa,3.13,0.01565,12.62,16.01,10.08,0.64,6.77,10.05,5.1
