Date,City,Solar Irradiance (W/m²)
2014-01-26,Edmonton,2.32
2014-01-26,Quebec City,3.54
2014-01-26,Winnipeg,2.63
2014-01-26,Hamilton,5.17
2014-01-26,Halifax,5.24
2014-01-27,Toronto,3.54
2014-01-27,Vancouver,5.14
2014-01-27,Montreal,4.43
2014-01-27,Calgary,4.19
2014-01-27,Ottawa,3.13
2014-01-27,Edmonton,5.2
2014-01-27,Quebec City,5.24
2014-01-27,Winnipeg,5.1
2014-01-27,Hamilton,5.14
2014-01-27,Halifax,4.91
2014-01-28,Toronto,4.36
2014-01-28,Vancouver,4.57
2014-01-28,Montreal,1.48
2014-01-28,Calgary,1.12
2014-01-28,Ottawa,2.74
2014-01-28,Edmonton,2.5
2014-01-28,Quebec City,2.73
2014-01-28,Winnipeg,2.75
2014-01-28,Hamilton,2.99
2014-01-28,Halifax,3.07
2014-01-29,Toronto,2.87
2014-01-29,Vancouver,4.05
2014-01-29,Montreal,3.75
2014-01-29,Calgary,3.98
2014-01-29,Ottawa,4.51
2014-01-29,Edmonton,1.29
2014-01-29,Quebec City,1.99
2014-01-29,Winnipeg,1.06
2014-01-29,Hamilton,2.32
2014-01-29,Halifax,1.48
2014-01-30,Toronto,1.69
2014-01-30,Vancouver,3.02
2014-01-30,Montreal,1.21
2014-01-30,Calgary,0.62
2014-01-30,Ottawa,2.85
2014-01-30,Edmonton,3.81
2014-01-30,Quebec City,3.4
2014-01-30,Winnipeg,1.82
2014-01-30,Hamilton,1.4
2014-01-30,Halifax,2.82
2014-01-31,Toronto,1.57
2014-01-31,Vancouver,1.82
2014-01-31,Montreal,1.96
2014-01-31,Calgary,0.78
2014-01-31,Ottawa,1.17
2014-01-31,Edmonton,3.43
2014-01-31,Quebec City,2.29
2014-01-31,Winnipeg,0.58
2014-01-31,Hamilton,1.86
2014-01-31,Halifax,1.13
2014-02-01,Toronto,2.02
2014-02-01,Vancouver,0.69
2014-02-01,Montreal,1.6
2014-02-01,Calgary,1.91
2014-02-01,Ottawa,2.72
2014-02-01,Edmonton,1.12
2014-02-01,Quebec City,1.24
2014-02-01,Winnipeg,1.98
2014-02-01,Hamilton,2.11
2014-02-01,Halifax,0.77
2014-02-02,Toronto,0.74
2014-02-02,Vancouver,2.42
2014-02-02,Montreal,1.13
2014-02-02,Calgary,1.92
2014-02-02,Ottawa,1.85
2014-02-02,Edmonton,0.4
2014-02-02,Quebec City,0.81
2014-02-02,Winnipeg,1.02
2014-02-02,Hamilton,0.53
2014-02-02,Halifax,0.51
2014-02-03,Toronto,1.4
2014-02-03,Vancouver,1.19
2014-02-03,Montreal,1.35
2014-02-03,Calgary,0.89
2014-02-03,Ottawa,1.69
2014-02-03,Edmonton,1.16
2014-02-03,Quebec City,0.72
2014-02-03,Winnipeg,2.02
2014-02-03,Hamilton,1.2
2014-02-03,Halifax,1.37
2014-02-04,Toronto,2.26
2014-02-04,Vancouver,1.32
2014-02-04,Montreal,0.75
2014-02-04,Calgary,1.51
2014-02-04,Ottawa,0.32
2014-02-04,Edmonton,1.5
2014-02-04,Quebec City,0.65
2014-02-04,Winnipeg,0.8
2014-02-04,Hamilton,0.88
2014-02-04,Halifax,0.5
2014-02-05,Toronto,0.81
2014-02-05,Vancouver,0.8
2014-02-05,Montreal,1.43
2014-02-05,Calgary,1.98
2014-02-05,Ottawa,1.65
2014-02-05,Edmonton,1.63
2014-02-05,Quebec City,0.79
2014-02-05,Winnipeg,0.34
2014-02-05,Hamilton,0.86
2014-02-05,Halifax,1.65
2014-02-06,Toronto,1.31
2014-02-06,Vancouver,1.09
2014-02-06,Montreal,1.05
2014-02-06,Calgary,1.27
2014-02-06,Ottawa,1.77
2014-02-06,Edmonton,0.74
2014-02-06,Quebec City,1.84
2014-02-06,Winnipeg,0.41
2014-02-06,Hamilton,0.72
2014-02-06,Halifax,1.6
2014-02-07,Toronto,1.45
2014-02-07,Vancouver,1.56
2014-02-07,Montreal,1.19
2014-02-07,Calgary,1.62
2014-02-07,Ottawa,1.77
2014-02-07,Edmonton,1.41
2014-02-07,Quebec City,0.83
2014-02-07,Winnipeg,2.06
2014-02-07,Hamilton,2.14
2014-02-07,Halifax,1.63
2014-02-08,Toronto,2.29
2014-02-08,Vancouver,1.44
2014-02-08,Montreal,0.93
2014-02-08,Calgary,1.7
2014-02-08,Ottawa,2.51
2014-02-08,Edmonton,1.5
2014-02-08,Quebec City,2.57
2014-02-08,Winnipeg,2.51
2014-02-08,Hamilton,0.64
2014-02-08,Halifax,2.86
2014-02-09,Toronto,1.8
2014-02-09,Vancouver,2.26
2014-02-09,Montreal,2.9
2014-02-09,Calgary,0.29
2014-02-09,Ottawa,2.64
2014-02-09,Edmonton,1.82
2014-02-09,Quebec City,0.72
2014-02-09,Winnipeg,1.65
2014-02-09,Hamilton,1.99
2014-02-09,Halifax,0.47
2014-02-10,Toronto,2.95
2014-02-10,Vancouver,2.17
2014-02-10,Montreal,0.68
2014-02-10,Calgary,0.38
2014-02-10,Ottawa,1.12
2014-02-10,Edmonton,2.09
2014-02-10,Quebec City,1.22
2014-02-10,Winnipeg,3.16
2014-02-10,Hamilton,2.58
2014-02-10,Halifax,1.59
2014-02-11,Toronto,2.43
2014-02-11,Vancouver,3.13
2014-02-11,Montreal,2.52
2014-02-11,Calgary,1.97
2014-02-11,Ottawa,3.11
2014-02-11,Edmonton,2.91
2014-02-11,Quebec City,0.82
2014-02-11,Winnipeg,1.78
2014-02-11,Hamilton,2.7
2014-02-11,Halifax,2.62
2014-02-12,Toronto,3.47
2014-02-12,Vancouver,2.73
2014-02-12,Montreal,3.7
2014-02-12,Calgary,3.39
2014-02-12,Ottawa,1.71
2014-02-12,Edmonton,2.82
2014-02-12,Quebec City,0.56
2014-02-12,Winnipeg,2.1
2014-02-12,Hamilton,3.3
2014-02-12,Halifax,3.73
2014-02-13,Toronto,2.12
2014-02-13,Vancouver,3.69
2014-02-13,Montreal,4.83
2014-02-13,Calgary,1.83
2014-02-13,Ottawa,4.83
2014-02-13,Edmonton,5.15
2014-02-13,Quebec City,3.91
2014-02-13,Winnipeg,1.58
2014-02-13,Hamilton,3.66
2014-02-13,Halifax,2.66
2014-02-14,Toronto,5.21
2014-02-14,Vancouver,4.78
2014-02-14,Montreal,5.52
2014-02-14,Calgary,5.08
2014-02-14,Ottawa,3.54
2014-02-14,Edmonton,5.79
2014-02-14,Quebec City,5.99
2014-02-14,Winnipeg,6.08
2014-02-14,Hamilton,1.05
2014-02-14,Halifax,1.58
2014-02-15,Toronto,3.6
2014-02-15,Vancouver,6.4
2014-02-15,Montreal,6.16
2014-02-15,Calgary,3.32
2014-02-15,Ottawa,4.69
2014-02-15,Edmonton,6.14
2014-02-15,Quebec City,3.62
2014-02-15,Winnipeg,3.67
2014-02-15,Hamilton,5.38
2014-02-15,Halifax,2.54
2014-02-16,Toronto,4.46
2014-02-16,Vancouver,3.63
2014-02-16,Montreal,0.71
2014-02-16,Calgary,1.32
2014-02-16,Ottawa,3.07
2014-02-16,Edmonton,5.03
2014-02-16,Quebec City,6.68
2014-02-16,Winnipeg,5.07
2014-02-16,Hamilton,6.06
2014-02-16,Halifax,7.05
2014-02-17,Toronto,5.39
2014-02-17,Vancouver,6.21
2014-02-17,Montreal,6.93
2014-02-17,Calgary,6.11
2014-02-17,Ottawa,2.38
2014-02-17,Edmonton,4.58
2014-02-17,Quebec City,3.19
2014-02-17,Winnipeg,2.89
2014-02-17,Hamilton,5.66
2014-02-17,Halifax,7.51
2014-02-18,Toronto,5.87
2014-02-18,Vancouver,3.7
2014-02-18,Montreal,7.11
2014-02-18,Calgary,6.84
2014-02-18,Ottawa,5.59
2014-02-18,Edmonton,5.75
2014-02-18,Quebec City,7.26
2014-02-18,Winnipeg,6.6
2014-02-18,Hamilton,3.48
2014-02-18,Halifax,3.66
2014-02-19,Toronto,7.12
2014-02-19,Vancouver,7.43
2014-02-19,Montreal,6.79
2014-02-19,Calgary,5.95
2014-02-19,Ottawa,4.85
2014-02-19,Edmonton,4.83
2014-02-19,Quebec City,3.09
2014-02-19,Winnipeg,4.42
2014-02-19,Hamilton,8.05
2014-02-19,Halifax,2.6
2014-02-20,Toronto,5.51
2014-02-20,Vancouver,7.06
2014-02-20,Montreal,5.66
2014-02-20,Calgary,4.8
2014-02-20,Ottawa,8.24
2014-02-20,Edmonton,7.49
2014-02-20,Quebec City,7.54
2014-02-20,Winnipeg,8.41
2014-02-20,Hamilton,6.55
2014-02-20,Halifax,5.09
2014-02-21,Toronto,6.69
2014-02-21,Vancouver,6.06
2014-02-21,Montreal,7.83
2014-02-21,Calgary,5.89
2014-02-21,Ottawa,5.35
2014-02-21,Edmonton,1.8
2014-02-21,Quebec City,4.14
2014-02-21,Winnipeg,8.28
2014-02-21,Hamilton,8.43
2014-02-21,Halifax,6.95
2014-02-22,Toronto,4.87
2014-02-22,Vancouver,8.64
2014-02-22,Montreal,6.74
2014-02-22,Calgary,2.83
2014-02-22,Ottawa,4.47
2014-02-22,Edmonton,5.55
2014-02-22,Quebec City,6.84
2014-02-22,Winnipeg,2.71
2014-02-22,Hamilton,6.12
2014-02-22,Halifax,2.4
2014-02-23,Toronto,4.85
2014-02-23,Vancouver,7.31
2014-02-23,Montreal,7.26
2014-02-23,Calgary,6.37
2014-02-23,Ottawa,6.61
2014-02-23,Edmonton,7.01
2014-02-23,Quebec City,6.61
2014-02-23,Winnipeg,7.07
2014-02-23,Hamilton,6.86
2014-02-23,Halifax,8.03
2014-02-24,Toronto,5.17
2014-02-24,Vancouver,7.5
2014-02-24,Montreal,1.23
2014-02-24,Calgary,2.37
2014-02-24,Ottawa,7.31
2014-02-24,Edmonton,2.97
2014-02-24,Quebec City,5.23
2014-02-24,Winnipeg,7.55
2014-02-24,Hamilton,7.65
2014-02-24,Halifax,7.28
2014-02-25,Toronto,6.6
2014-02-25,Vancouver,6.78
2014-02-25,Montreal,3.47
2014-02-25,Calgary,6.17
2014-02-25,Ottawa,4.27
2014-02-25,Edmonton,7.4
2014-02-25,Quebec City,7.66
2014-02-25,Winnipeg,6.2
2014-02-25,Hamilton,7.13
2014-02-25,Halifax,3.0
2014-02-26,Toronto,7.74
2014-02-26,Vancouver,7.95
2014-02-26,Montreal,1.91
2014-02-26,Calgary,6.42
2014-02-26,Ottawa,6.09
2014-02-26,Edmonton,6.39
2014-02-26,Quebec City,7.54
2014-02-26,Winnipeg,7.47
2014-02-26,Hamilton,7.52
2014-02-26,Halifax,7.11
2014-02-27,Toronto,5.58
2014-02-27,Vancouver,6.86
2014-02-27,Montreal,7.43
2014-02-27,Calgary,7.3
2014-02-27,Ottawa,6.63
2014-02-27,Edmonton,7.39
2014-02-27,Quebec City,6.79
2014-02-27,Winnipeg,6.55
2014-02-27,Hamilton,6.42
2014-02-27,Halifax,6.3
2014-02-28,Toronto,5.38
2014-02-28,Vancouver,6.34
2014-02-28,Montreal,6.36
2014-02-28,Calgary,6.82
2014-02-28,Ottawa,3.92
2014-02-28,Edmonton,7.26
2014-02-28,Quebec City,2.54
2014-02-28,Winnipeg,6.1
2014-02-28,Hamilton,5.97
2014-02-28,Halifax,6.35
2014-03-01,Toronto,2.74
2014-03-01,Vancouver,6.23
2014-03-01,Montreal,6.65
2014-03-01,Calgary,6.25
2014-03-01,Ottawa,2.87
2014-03-01,Edmonton,5.73
2014-03-01,Quebec City,3.42
2014-03-01,Winnipeg,4.55
2014-03-01,Hamilton,6.8
2014-03-01,Halifax,6.41
2014-03-02,Toronto,4.98
2014-03-02,Vancouver,3.86
2014-03-02,Montreal,3.09
2014-03-02,Calgary,3.56
2014-03-02,Ottawa,5.82
2014-03-02,Edmonton,3.22
2014-03-02,Quebec City,4.52
2014-03-02,Winnipeg,5.44
2014-03-02,Hamilton,5.11
2014-03-02,Halifax,4.92
2014-03-03,Toronto,4.79
2014-03-03,Vancouver,5.38
2014-03-03,Montreal,5.4
2014-03-03,Calgary,5.19
2014-03-03,Ottawa,5.27
2014-03-03,Edmonton,3.85
2014-03-03,Quebec City,2.83
2014-03-03,Winnipeg,5.39
2014-03-03,Hamilton,3.62
2014-03-03,Halifax,1.46
2014-03-04,Toronto,1.4
2014-03-04,Vancouver,5.84
2014-03-04,Montreal,5.65
2014-03-04,Calgary,5.58
2014-03-04,Ottawa,5.56
2014-03-04,Edmonton,3.49
2014-03-04,Quebec City,1.86
2014-03-04,Winnipeg,5.08
2014-03-04,Hamilton,4.73
2014-03-04,Halifax,4.97
2014-03-05,Toronto,5.17
2014-03-05,Vancouver,4.68
2014-03-05,Montreal,4.3
2014-03-05,Calgary,4.36
2014-03-05,Ottawa,4.23
2014-03-05,Edmonton,1.67
2014-03-05,Quebec City,1.04
2014-03-05,Winnipeg,3.65
2014-03-05,Hamilton,4.8
2014-03-05,Halifax,2.94
2014-03-06,Toronto,1.74
2014-03-06,Vancouver,2.79
2014-03-06,Montreal,1.68
2014-03-06,Calgary,1.71
2014-03-06,Ottawa,3.18
2014-03-06,Edmonton,3.81
2014-03-06,Quebec City,1.76
2014-03-06,Winnipeg,4.14
2014-03-06,Hamilton,4.22
2014-03-06,Halifax,4.12
2014-03-07,Toronto,2.39
2014-03-07,Vancouver,2.27
2014-03-07,Montreal,3.09
2014-03-07,Calgary,2.82
2014-03-07,Ottawa,2.98
2014-03-07,Edmonton,2.64
2014-03-07,Quebec City,3.46
2014-03-07,Winnipeg,1.6
2014-03-07,Hamilton,1.43
2014-03-07,Halifax,3.36
2014-03-08,Toronto,3.98
2014-03-08,Vancouver,0.8
2014-03-08,Montreal,2.76
2014-03-08,Calgary,3.29
2014-03-08,Ottawa,2.45
2014-03-08,Edmonton,0.63
2014-03-08,Quebec City,2.21
2014-03-08,Winnipeg,3.02
2014-03-08,Hamilton,1.46
2014-03-08,Halifax,2.38
2014-03-09,Toronto,3.12
2014-03-09,Vancouver,3.14
2014-03-09,Montreal,2.78
2014-03-09,Calgary,2.1
2014-03-09,Ottawa,1.48
2014-03-09,Edmonton,2.11
2014-03-09,Quebec City,3.01
2014-03-09,Winnipeg,3.12
2014-03-09,Hamilton,0.8
2014-03-09,Halifax,1.53
2014-03-10,Toronto,0.51
2014-03-10,Vancouver,1.35
2014-03-10,Montreal,1.34
2014-03-10,Calgary,2.57
2014-03-10,Ottawa,2.64
2014-03-10,Edmonton,2.26
2014-03-10,Quebec City,1.22
2014-03-10,Winnipeg,1.81
2014-03-10,Hamilton,2.36
2014-03-10,Halifax,0.7
2014-03-11,Toronto,1.76
2014-03-11,Vancouver,1.54
2014-03-11,Montreal,1.61
2014-03-11,Calgary,2.29
2014-03-11,Ottawa,0.97
2014-03-11,Edmonton,0.45
2014-03-11,Quebec City,1.51
2014-03-11,Winnipeg,1.91
2014-03-11,Hamilton,1.77
2014-03-11,Halifax,0.67
2014-03-12,Toronto,1.6
2014-03-12,Vancouver,1.37
2014-03-12,Montreal,0.64
2014-03-12,Calgary,1.61
2014-03-12,Ottawa,1.21
2014-03-12,Edmonton,1.05
2014-03-12,Quebec City,1.15
2014-03-12,Winnipeg,1.92
2014-03-12,Hamilton,1.1
2014-03-12,Halifax,1.94
2014-03-13,Toronto,0.64
2014-03-13,Vancouver,0.42
2014-03-13,Montreal,0.64
2014-03-13,Calgary,1.02
2014-03-13,Ottawa,0.65
2014-03-13,Edmonton,1.63
2014-03-13,Quebec City,1.12
2014-03-13,Winnipeg,0.87
2014-03-13,Hamilton,1.65
2014-03-13,Halifax,0.49
2014-03-14,Toronto,1.06
2014-03-14,Vancouver,1.19
2014-03-14,Montreal,2.1
2014-03-14,Calgary,1.38
2014-03-14,Ottawa,1.09
2014-03-14,Edmonton,0.55
2014-03-14,Quebec City,0.81
2014-03-14,Winnipeg,0.6
2014-03-14,Hamilton,0.74
2014-03-14,Halifax,0.45
2014-03-15,Toronto,1.08
2014-03-15,Vancouver,0.53
2014-03-15,Montreal,1.07
2014-03-15,Calgary,1.84
2014-03-15,Ottawa,2.12
2014-03-15,Edmonton,1.92
2014-03-15,Quebec City,1.78
2014-03-15,Winnipeg,1.22
2014-03-15,Hamilton,0.82
2014-03-15,Halifax,0.34
2014-03-16,Toronto,2.08
2014-03-16,Vancouver,0.91
2014-03-16,Montreal,1.4
2014-03-16,Calgary,1.42
2014-03-16,Ottawa,0.79
2014-03-16,Edmonton,1.68
2014-03-16,Quebec City,1.01
2014-03-16,Winnipeg,1.84
2014-03-16,Hamilton,1.9
2014-03-16,Halifax,1.12
2014-03-17,Toronto,1.59
2014-03-17,Vancouver,1.86
2014-03-17,Montreal,2.31
2014-03-17,Calgary,1.25
2014-03-17,Ottawa,1.6
2014-03-17,Edmonton,0.69
2014-03-17,Quebec City,2.13
2014-03-17,Winnipeg,0.93
2014-03-17,Hamilton,2.58
2014-03-17,Halifax,2.05
2014-03-18,Toronto,1.42
2014-03-18,Vancouver,2.88
2014-03-18,Montreal,2.24
2014-03-18,Calgary,1.63
2014-03-18,Ottawa,2.71
2014-03-18,Edmonton,1.96
2014-03-18,Quebec City,2.53
2014-03-18,Winnipeg,2.57
2014-03-18,Hamilton,1.71
2014-03-18,Halifax,0.95
2014-03-19,Toronto,1.95
2014-03-19,Vancouver,2.79
2014-03-19,Montreal,1.86
2014-03-19,Calgary,2.53
2014-03-19,Ottawa,2.3
2014-03-19,Edmonton,1.1
2014-03-19,Quebec City,0.84
2014-03-19,Winnipeg,1.96
2014-03-19,Hamilton,3.29
2014-03-19,Halifax,2.03
2014-03-20,Toronto,2.98
2014-03-20,Vancouver,2.91
2014-03-20,Montreal,3.99
2014-03-20,Calgary,3.29
2014-03-20,Ottawa,0.75
2014-03-20,Edmonton,1.26
2014-03-20,Quebec City,3.9
2014-03-20,Winnipeg,3.34
2014-03-20,Hamilton,4.06
2014-03-20,Halifax,2.5
2014-03-21,Toronto,1.2
2014-03-21,Vancouver,3.6
2014-03-21,Montreal,2.33
2014-03-21,Calgary,2.88
2014-03-21,Ottawa,2.62
2014-03-21,Edmonton,3.89
2014-03-21,Quebec City,3.12
2014-03-21,Winnipeg,3.2
2014-03-21,Hamilton,2.42
2014-03-21,Halifax,0.92
2014-03-22,Toronto,3.91
2014-03-22,Vancouver,4.45
2014-03-22,Montreal,2.75
2014-03-22,Calgary,0.89
2014-03-22,Ottawa,1.55
2014-03-22,Edmonton,1.92
2014-03-22,Quebec City,3.39
2014-03-22,Winnipeg,3.3
2014-03-22,Hamilton,5.62
2014-03-22,Halifax,5.41
2014-03-23,Toronto,3.99
2014-03-23,Vancouver,2.2
2014-03-23,Montreal,1.18
2014-03-23,Calgary,1.23
2014-03-23,Ottawa,2.71
2014-03-23,Edmonton,5.41
2014-03-23,Quebec City,5.5
2014-03-23,Winnipeg,1.32
2014-03-23,Hamilton,6.48
2014-03-23,Halifax,5.04
2014-03-24,Toronto,1.2
2014-03-24,Vancouver,2.84
2014-03-24,Montreal,3.67
2014-03-24,Calgary,3.87
2014-03-24,Ottawa,2.94
2014-03-24,Edmonton,6.19
2014-03-24,Quebec City,1.26
2014-03-24,Winnipeg,2.89
2014-03-24,Hamilton,5.09
2014-03-24,Halifax,6.55
2014-03-25,Toronto,2.7
2014-03-25,Vancouver,1.62
2014-03-25,Montreal,4.28
2014-03-25,Calgary,5.79
2014-03-25,Ottawa,7.06
2014-03-25,Edmonton,6.99
