Date,City,Temperature (°C),Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Wind Speed (m/s),Max Wind Speed (m/s),Min Wind Speed (m/s),Estimated Solar Energy Consumption (kWh)
2014-01-04,Edmonton,-5.57,-3.34,-11.51,5.36,9.23,12.36,5.7,3.362e-06
2014-01-04,Quebec City,-8.57,-6.35,-11.89,2.12,6.64,10.5,2.44,4.0897999999999994e-05
2014-01-04,Winnipeg,-10.16,-8.03,-11.82,0.2,10.66,11.57,9.34,6.265800000000001e-05
2014-01-04,Hamilton,-10.05,-8.14,-12.93,0.13,5.9,9.95,4.0,8.4872e-05
2014-01-04,Halifax,-7.98,-6.97,-8.9,1.18,2.86,5.65,0.62,8.712e-06
2014-01-05,Toronto,-7.68,-6.13,-10.0,0.98,5.42,6.11,4.2,9.856800000000002e-05
2014-01-05,Vancouver,-9.97,-8.58,-10.88,0.52,4.08,5.8,0.86,5.9168e-05
2014-01-05,Montreal,-9.56,-6.68,-13.18,0.87,3.79,5.41,1.73,0.000123008
2014-01-05,Calgary,-5.63,-3.23,-8.74,0.31,4.09,6.0,0.17,0.00010215199999999998
2014-01-05,Ottawa,-4.17,-1.19,-6.22,0.72,3.38,4.99,1.25,6.993800000000002e-05
2014-01-05,Edmonton,-7.94,-5.21,-11.99,0.74,5.24,6.55,3.13,0.00014045
2014-01-05,Quebec City,-11.46,-8.57,-13.75,2.24,4.43,8.1,1.87,7.605e-05
2014-01-05,Winnipeg,-9.91,-3.95,-15.17,0.48,5.87,10.92,1.85,0.00013728800000000006
2014-01-05,Hamilton,-2.71,-1.38,-3.97,3.25,7.97,9.85,4.15,6.1952e-05
2014-01-05,Halifax,-0.25,1.76,-4.11,0.71,5.31,6.62,4.15,9.244999999999998e-05
2014-01-06,Toronto,-2.02,0.72,-5.37,7.43,5.98,9.49,1.92,8.978000000000001e-06
2014-01-06,Vancouver,1.82,3.19,-0.44,9.5,10.29,13.97,4.64,6.845000000000001e-05
2014-01-06,Montreal,-0.23,1.41,-2.22,0.89,11.15,14.86,6.88,0.000270848
2014-01-06,Calgary,-4.08,-0.64,-6.5,0.58,7.44,9.96,5.99,0.00022044800000000004
2014-01-06,Ottawa,-6.94,-5.75,-8.07,2.19,7.86,9.57,5.92,0.00014045
2014-01-06,Edmonton,-7.66,-5.66,-10.23,0.36,6.86,10.94,5.74,0.00014364800000000002
2014-01-06,Quebec City,-11.04,-9.3,-12.96,0.13,9.08,11.68,7.31,0.00015125
2014-01-06,Winnipeg,-10.92,-7.75,-14.89,0.26,11.02,13.91,8.22,0.00018120199999999996
2014-01-06,Hamilton,-13.68,-10.21,-17.47,0.08,4.01,7.46,2.18,0.00030108800000000003
2014-01-06,Halifax,-5.73,-0.43,-9.66,1.76,5.96,8.66,3.88,5.3792e-05
2014-01-07,Toronto,-10.71,-8.91,-13.58,2.43,5.93,6.89,4.8,9.856800000000002e-05
2014-01-07,Vancouver,-13.35,-10.97,-14.98,0.18,4.85,7.26,2.94,0.000236672
2014-01-07,Montreal,-10.64,-7.38,-15.36,1.28,3.28,4.8,1.63,6.845000000000001e-05
2014-01-07,Calgary,-8.07,-5.96,-10.15,1.39,4.37,5.59,2.61,0.00014045
2014-01-07,Ottawa,-7.85,-5.27,-11.08,2.0,6.26,7.35,5.16,0.00026644999999999994
2014-01-07,Edmonton,-2.58,2.2,-7.08,0.03,4.14,5.74,2.6,0.000294912
2014-01-07,Quebec City,-1.88,1.12,-6.5,1.34,5.36,8.89,3.69,5.3792e-05
2014-01-07,Winnipeg,-4.49,-0.86,-9.31,0.12,6.04,8.31,3.84,0.000212552
2014-01-07,Hamilton,1.3,4.24,-1.36,0.03,6.19,8.71,3.4,0.00020995200000000007
2014-01-07,Halifax,2.86,8.21,0.12,0.01,3.44,5.65,1.59,0.0003680820000000001
2014-01-08,Toronto,-3.96,1.1,-10.65,5.08,9.94,14.07,3.31,7.441999999999999e-06
2014-01-08,Vancouver,-10.37,-6.19,-15.42,2.56,6.77,9.81,4.41,0.00013833799999999998
2014-01-08,Montreal,0.48,6.43,-7.46,0.59,9.01,12.59,5.52,0.00031363199999999994
2014-01-08,Calgary,-0.4,2.81,-6.27,0.91,8.73,11.08,6.87,0.000144722
2014-01-08,Ottawa,-9.02,-6.61,-12.29,0.09,4.9,6.98,2.25,0.00037152199999999994
2014-01-08,Edmonton,-8.96,-4.95,-13.62,0.09,4.63,6.0,3.15,0.000399618
2014-01-08,Quebec City,-2.59,1.81,-7.4,0.24,4.93,6.69,2.94,0.0005100499999999998
2014-01-08,Winnipeg,2.19,4.47,-0.41,3.69,5.86,9.44,4.33,2.88e-05
2014-01-08,Hamilton,0.87,2.39,-2.19,1.11,9.53,11.01,6.14,5.7122e-05
2014-01-08,Halifax,-1.26,2.37,-4.72,0.02,3.86,6.19,1.4,0.0006272000000000001
2014-01-09,Toronto,0.32,2.56,-4.59,1.45,7.71,10.81,4.41,0.000139392
2014-01-09,Vancouver,-6.6,-4.95,-8.45,0.06,6.47,9.22,5.03,0.0006361919999999999
2014-01-09,Montreal,-6.38,-3.76,-9.08,0.05,4.55,5.4,3.22,0.00034611200000000004
2014-01-09,Calgary,-4.07,-0.34,-7.18,1.62,6.39,9.69,2.74,0.0002782580000000001
2014-01-09,Ottawa,-7.47,-4.75,-10.39,0.49,5.9,8.66,3.06,0.0005832000000000001
2014-01-09,Edmonton,-1.91,2.61,-8.18,1.33,4.85,6.41,3.0,0.00015904799999999999
2014-01-09,Quebec City,3.87,7.08,-0.92,3.56,8.52,12.21,4.01,3.4848e-05
2014-01-09,Winnipeg,0.52,2.79,-1.48,2.32,6.33,8.74,3.52,2.3328e-05
2014-01-09,Hamilton,1.27,5.75,-2.11,2.53,6.72,8.9,4.99,0.0007080500000000001
2014-01-09,Halifax,3.07,7.88,-1.79,0.04,2.28,4.93,0.73,0.000663552
2014-01-10,Toronto,3.01,7.52,0.32,0.08,5.62,7.55,3.36,0.000247808
2014-01-10,Vancouver,1.17,5.65,-1.9,0.0,4.63,5.54,3.49,0.0007248079999999999
2014-01-10,Montreal,-0.3,1.37,-2.4,0.09,4.7,7.57,2.54,0.00022311199999999997
2014-01-10,Calgary,3.61,7.83,0.15,6.85,8.56,11.62,5.85,1.5488e-05
2014-01-10,Ottawa,0.67,3.45,-3.79,1.74,9.01,12.14,4.43,0.0004176980000000001
2014-01-10,Edmonton,1.12,6.39,-4.62,0.03,3.22,4.18,2.04,0.0008217620000000001
2014-01-10,Quebec City,1.96,5.92,-1.22,7.8,5.09,8.48,3.64,0.00013004999999999996
2014-01-10,Winnipeg,3.93,8.1,1.07,7.05,5.76,7.69,4.36,0.00037844999999999996
2014-01-10,Hamilton,3.39,7.5,-0.51,0.11,3.74,6.4,2.06,0.0008817920000000002
2014-01-10,Halifax,6.2,11.6,0.11,1.03,8.36,11.34,3.54,0.000622728
2014-01-11,Toronto,5.78,10.31,1.72,1.01,2.54,4.83,0.19,0.0007128179999999999
2014-01-11,Vancouver,6.42,12.3,2.16,3.47,3.9,8.23,0.31,0.000542882
2014-01-11,Montreal,9.04,13.82,4.86,2.98,4.62,7.63,0.34,0.00033619999999999993
2014-01-11,Calgary,9.67,13.62,3.07,4.66,8.34,11.4,3.09,7.9202e-05
2014-01-11,Ottawa,-0.23,2.92,-3.4,8.51,8.34,10.23,3.25,0.000124002
2014-01-11,Edmonton,-1.1,2.16,-4.72,1.66,4.12,7.7,1.21,0.0007613780000000002
2014-01-11,Quebec City,3.44,7.18,-1.09,1.53,5.86,7.36,3.79,0.000913952
2014-01-11,Winnipeg,5.68,9.05,1.78,0.17,4.51,7.59,2.46,0.00013728800000000006
2014-01-11,Hamilton,3.88,8.35,-0.43,0.49,3.89,5.84,2.37,0.001074578
2014-01-11,Halifax,5.28,10.92,1.46,0.17,3.08,4.08,2.06,0.0009085520000000002
2014-01-12,Toronto,9.7,15.46,4.83,0.31,3.62,5.18,1.96,0.00047628799999999995
2014-01-12,Vancouver,7.63,10.49,3.96,3.46,6.24,7.69,4.99,0.00031047199999999995
2014-01-12,Montreal,4.03,6.75,1.08,4.08,7.84,10.07,5.89,0.0008398080000000003
2014-01-12,Calgary,5.49,10.43,0.15,0.2,2.87,6.33,0.21,0.0011070720000000002
2014-01-12,Ottawa,4.96,6.4,2.94,3.62,7.13,10.3,2.22,0.00017405000000000003
2014-01-12,Edmonton,4.26,6.79,1.69,1.28,5.02,6.64,2.71,0.00018849799999999997
2014-01-12,Quebec City,5.7,10.46,0.53,0.8,3.02,5.97,0.84,0.0009522000000000003
2014-01-12,Winnipeg,5.49,7.83,2.39,0.07,5.42,7.39,2.76,0.0008166420000000001
2014-01-12,Hamilton,6.99,9.86,4.74,13.85,7.63,10.75,5.35,2.9767999999999997e-05
2014-01-12,Halifax,6.41,7.95,5.62,9.42,5.47,7.48,1.56,4.2632e-05
2014-01-13,Toronto,7.34,9.77,5.16,2.86,5.35,8.23,0.69,0.0004646480000000002
2014-01-13,Vancouver,6.53,8.26,4.55,0.84,5.72,7.09,4.66,0.00016245000000000002
2014-01-13,Montreal,6.92,9.15,5.01,2.07,6.31,8.1,4.44,0.00013107200000000006
2014-01-13,Calgary,6.25,8.92,3.69,0.84,6.91,7.77,5.22,0.0008924479999999999
2014-01-13,Ottawa,7.16,11.22,2.51,0.15,3.17,5.77,0.68,0.000602802
2014-01-13,Edmonton,8.11,12.66,4.23,0.07,3.22,4.59,1.81,0.0012043520000000001
2014-01-13,Quebec City,6.49,8.79,4.24,0.41,5.48,6.23,4.19,0.0005407999999999999
2014-01-13,Winnipeg,8.68,12.13,5.59,1.48,4.91,5.76,4.01,0.0006361919999999999
2014-01-13,Hamilton,12.91,17.09,8.66,1.21,3.88,6.67,0.69,0.000388962
2014-01-13,Halifax,11.02,13.03,7.76,0.65,5.83,7.65,3.54,0.0007688000000000001
2014-01-14,Toronto,11.28,16.68,5.53,0.04,3.65,4.44,2.14,0.001179648
2014-01-14,Vancouver,14.0,17.69,11.28,0.84,2.3,3.26,1.71,0.0004399220000000001
2014-01-14,Montreal,13.7,16.28,11.83,10.96,3.49,4.83,2.32,0.0006566580000000002
2014-01-14,Calgary,13.63,18.06,10.5,9.55,3.18,5.11,0.79,0.000257762
2014-01-14,Ottawa,12.57,14.69,9.12,8.62,5.65,8.26,3.51,0.00012201800000000002
2014-01-14,Edmonton,8.46,11.63,4.85,6.61,3.7,4.99,2.35,0.000421362
2014-01-14,Quebec City,7.01,9.47,4.06,0.11,3.45,4.16,2.91,0.00043431200000000007
2014-01-14,Winnipeg,8.82,11.94,5.22,0.38,3.73,5.37,1.99,0.000682112
2014-01-14,Hamilton,11.87,17.24,5.91,0.42,3.17,4.83,1.79,0.0006867920000000001
2014-01-14,Halifax,10.78,13.68,9.47,3.41,2.9,4.14,1.23,0.00019971200000000003
2014-01-15,Toronto,12.7,17.79,9.33,1.46,1.93,3.25,0.24,0.000570312
2014-01-15,Vancouver,12.27,16.02,8.43,1.05,3.99,6.56,0.53,0.000778752
2014-01-15,Montreal,9.87,12.16,6.97,2.23,4.4,5.01,3.91,0.000260642
2014-01-15,Calgary,13.21,19.38,7.29,0.22,2.72,4.21,0.6,0.0011735120000000003
2014-01-15,Ottawa,14.05,19.99,7.67,0.79,3.99,6.17,2.44,0.001238738
2014-01-15,Edmonton,14.81,19.54,9.85,0.49,5.71,6.82,4.13,0.001048352
2014-01-15,Quebec City,15.69,18.78,12.23,3.66,4.35,6.45,2.56,0.000526338
2014-01-15,Winnipeg,11.4,13.53,9.39,0.85,3.97,4.5,3.21,0.00047044999999999997
2014-01-15,Hamilton,11.85,14.49,9.06,1.68,2.99,3.83,0.38,0.00068445
2014-01-15,Halifax,15.45,20.6,10.98,0.58,2.82,4.17,1.38,0.0010253120000000002
2014-01-16,Toronto,14.4,17.77,10.66,0.01,3.44,4.32,2.89,0.0013546580000000006
2014-01-16,Vancouver,15.24,20.86,9.53,0.03,2.88,3.57,1.89,0.001125
2014-01-16,Montreal,17.22,20.66,13.72,2.48,5.8,6.99,3.87,0.0007248079999999999
2014-01-16,Calgary,16.94,20.53,12.5,9.3,6.08,8.68,2.18,0.0007638479999999999
2014-01-16,Ottawa,14.49,18.47,11.42,1.26,4.0,4.9,2.24,0.00055125
2014-01-16,Edmonton,12.87,15.76,9.66,0.34,4.65,5.89,2.98,0.0007080500000000001
2014-01-16,Quebec City,16.19,22.32,9.76,0.0,2.82,5.44,1.73,0.001267232
2014-01-16,Winnipeg,16.57,20.79,11.06,0.5,2.1,3.54,0.34,0.0014688980000000002
2014-01-16,Hamilton,15.04,17.41,12.28,2.35,3.95,5.61,1.99,8.080199999999999e-05
2014-01-16,Halifax,17.33,19.54,13.63,2.42,3.9,6.97,0.08,0.0009744080000000001
2014-01-17,Toronto,17.07,19.5,15.03,0.85,3.77,5.37,2.36,0.0006543679999999999
2014-01-17,Vancouver,17.87,21.0,15.01,10.55,3.59,5.37,1.13,0.000291848
2014-01-17,Montreal,18.81,21.09,16.71,3.14,4.75,6.19,3.43,0.0004802000000000002
2014-01-17,Calgary,16.88,20.31,11.53,2.19,5.03,7.59,3.12,0.00032805
2014-01-17,Ottawa,14.13,18.36,10.24,1.42,4.23,6.3,2.91,0.0008449999999999999
2014-01-17,Edmonton,14.25,17.23,10.99,1.96,3.38,5.49,2.43,0.001417928
2014-01-17,Quebec City,18.58,25.18,12.46,0.69,1.58,3.37,0.51,0.0007712820000000001
2014-01-17,Winnipeg,19.12,22.44,16.01,9.34,5.13,9.8,0.37,0.0005896979999999999
2014-01-17,Hamilton,18.75,23.57,14.59,3.24,2.58,5.07,1.15,0.00039605
2014-01-17,Halifax,18.15,22.95,14.51,0.72,3.76,6.11,1.32,0.001357952
2014-01-18,Toronto,16.24,19.49,12.92,0.24,3.08,6.2,1.36,0.0009800000000000002
2014-01-18,Vancouver,17.12,20.31,13.4,0.0,2.72,4.36,1.05,0.0012864079999999997
2014-01-18,Montreal,18.45,21.65,14.71,0.17,2.56,4.29,1.05,0.0012136820000000002
2014-01-18,Calgary,18.87,22.34,14.89,1.42,2.86,3.91,1.3,0.00043804800000000007
2014-01-18,Ottawa,20.42,23.01,18.2,5.42,4.61,6.9,1.27,0.0004608
2014-01-18,Edmonton,19.55,22.04,17.24,5.13,2.81,4.69,0.9,0.000229842
2014-01-18,Quebec City,21.82,25.27,17.92,0.88,1.71,4.04,0.23,0.00108045
2014-01-18,Winnipeg,21.22,24.37,17.5,0.7,3.08,4.57,1.85,0.0012928319999999998
2014-01-18,Hamilton,22.72,26.55,18.79,0.07,2.69,3.7,1.28,0.0010775120000000003
2014-01-18,Halifax,22.87,25.22,20.48,2.76,4.35,5.95,1.9,0.000837218
2014-01-19,Toronto,23.11,25.45,20.48,1.01,4.9,6.49,3.44,0.0008013779999999999
2014-01-19,Vancouver,22.9,25.13,20.83,1.57,6.53,11.13,3.79,0.0007490880000000001
2014-01-19,Montreal,22.15,24.9,19.71,0.94,4.9,7.28,2.35,0.0007080500000000001
2014-01-19,Calgary,19.12,22.95,15.0,1.68,4.02,9.24,1.3,0.00037497800000000004
2014-01-19,Ottawa,18.1,21.2,13.93,0.98,5.26,6.65,3.82,0.001059968
2014-01-19,Edmonton,19.41,23.52,13.87,1.19,5.19,6.61,2.92,0.001381122
2014-01-19,Quebec City,20.73,23.91,17.2,0.14,6.94,9.86,5.23,0.000946688
2014-01-19,Winnipeg,21.32,24.01,19.23,12.42,7.15,10.08,4.22,0.0003942720000000001
2014-01-19,Hamilton,19.56,22.0,15.42,9.86,5.64,8.79,4.09,0.000216482
2014-01-19,Halifax,17.4,19.83,14.99,3.24,4.12,5.7,2.96,0.0007490880000000001
2014-01-20,Toronto,17.88,20.82,14.12,0.15,1.72,2.91,0.38,0.0009716179999999999
2014-01-20,Vancouver,19.34,21.68,16.74,0.01,2.06,3.06,1.43,0.0012418879999999998
2014-01-20,Montreal,21.27,24.54,17.79,0.24,2.91,4.81,0.95,0.0010025280000000001
2014-01-20,Calgary,21.86,24.83,19.25,5.03,6.12,11.95,3.75,0.0005120719999999998
2014-01-20,Ottawa,20.06,23.56,16.31,1.15,2.58,4.06,1.62,0.00036979999999999994
2014-01-20,Edmonton,19.86,22.79,16.41,3.48,5.5,8.66,1.75,0.000746642
2014-01-20,Quebec City,17.59,20.33,14.95,1.39,4.59,5.99,3.18,0.0005407999999999999
2014-01-20,Winnipeg,17.74,21.63,13.12,3.58,3.5,3.85,3.02,0.0008166420000000001
2014-01-20,Hamilton,18.92,21.86,15.43,0.31,1.87,3.08,0.33,0.0011040980000000002
2014-01-20,Halifax,18.33,19.57,17.19,4.15,3.51,4.89,2.71,0.00010125000000000001
2014-01-21,Toronto,20.54,23.23,18.27,3.11,2.56,4.27,1.59,0.00030108800000000003
2014-01-21,Vancouver,22.64,26.53,19.23,0.66,1.56,2.84,0.37,0.000988418
2014-01-21,Montreal,22.84,26.04,19.02,0.23,3.72,5.89,0.66,0.001125
2014-01-21,Calgary,20.68,22.38,17.33,2.69,5.82,6.58,4.22,0.000339488
2014-01-21,Ottawa,19.65,23.19,16.87,1.43,3.06,6.37,1.01,0.00123245
2014-01-21,Edmonton,19.39,22.71,15.5,5.03,4.24,6.35,2.36,0.001013888
2014-01-21,Quebec City,20.72,23.43,17.55,0.93,4.83,6.48,3.92,0.0005325120000000001
2014-01-21,Winnipeg,21.54,24.99,18.98,11.36,4.58,6.5,2.66,0.0008089920000000001
2014-01-21,Hamilton,17.24,18.78,14.52,21.48,7.78,11.23,5.29,0.00037844999999999996
2014-01-21,Halifax,17.42,20.15,13.4,1.73,4.13,6.18,2.1,0.00045888200000000003
2014-01-22,Toronto,19.16,21.44,17.23,2.26,3.77,5.7,2.62,0.000611618
2014-01-22,Vancouver,19.01,22.16,16.06,7.79,3.27,5.18,0.69,0.0007762580000000003
2014-01-22,Montreal,21.36,24.27,17.92,0.72,3.43,4.8,0.25,0.0007613780000000002
2014-01-22,Calgary,21.49,23.96,18.63,3.72,1.3,2.19,0.75,0.0006384500000000002
2014-01-22,Ottawa,20.2,21.7,18.99,1.32,1.9,3.92,0.39,0.00036636800000000005
2014-01-22,Edmonton,21.63,24.74,18.17,3.41,3.59,4.27,2.8,0.00043431200000000007
2014-01-22,Quebec City,20.84,23.41,18.55,2.95,1.89,3.27,0.27,0.000229842
2014-01-22,Winnipeg,21.14,24.81,17.43,1.02,2.93,5.08,0.42,0.000824328
2014-01-22,Hamilton,20.43,23.99,16.78,0.27,3.73,5.53,1.94,0.000837218
2014-01-22,Halifax,20.46,23.2,17.07,0.27,1.89,4.71,0.58,0.000693842
2014-01-23,Toronto,21.09,23.88,17.71,0.05,2.25,2.91,1.58,0.000960498
2014-01-23,Vancouver,21.58,24.55,18.22,0.32,3.19,4.62,2.1,0.0009632720000000002
2014-01-23,Montreal,22.21,25.51,19.09,4.7,5.17,9.6,3.39,0.000516128
2014-01-23,Calgary,22.14,24.58,20.13,6.08,6.18,9.83,2.76,0.0003026420000000001
2014-01-23,Ottawa,19.39,22.6,16.51,1.58,7.54,9.71,5.89,0.0004880720000000001
2014-01-23,Edmonton,16.35,19.02,14.16,0.36,7.17,8.8,5.45,0.00035955200000000007
2014-01-23,Quebec City,17.74,21.74,14.14,1.29,6.0,7.3,5.05,0.0005681779999999999
2014-01-23,Winnipeg,18.72,21.93,16.34,2.61,7.7,12.53,5.13,8.2418e-05
2014-01-23,Hamilton,19.07,23.08,15.2,0.58,3.18,5.44,1.01,0.0006498000000000001
2014-01-23,Halifax,17.62,19.96,15.61,0.55,3.13,4.93,1.92,0.000773768
2014-01-24,Toronto,18.04,20.48,14.91,1.64,3.86,5.24,3.01,0.000855432
2014-01-24,Vancouver,20.31,22.74,18.12,1.86,2.33,3.8,0.63,0.000215168
2014-01-24,Montreal,22.08,25.51,18.98,0.54,3.4,4.95,1.69,0.00048609799999999997
2014-01-24,Calgary,20.82,23.24,18.25,0.1,2.67,3.87,0.56,0.00045125000000000005
2014-01-24,Ottawa,20.38,22.38,18.53,0.04,4.48,5.88,3.13,0.00016131199999999996
2014-01-24,Edmonton,20.53,22.79,18.06,0.43,4.4,5.67,3.54,0.000605
2014-01-24,Quebec City,21.59,24.77,18.7,0.1,3.01,3.53,2.37,0.000855432
2014-01-24,Winnipeg,23.3,26.34,19.81,0.06,4.83,6.37,2.88,0.0006452479999999999
2014-01-24,Hamilton,21.03,24.29,17.19,0.32,4.74,6.34,2.61,0.000602802
2014-01-24,Halifax,18.64,22.38,15.27,0.1,4.92,5.61,3.85,0.000837218
2014-01-25,Toronto,19.27,21.67,16.23,0.2,3.45,5.32,2.56,0.000596232
2014-01-25,Vancouver,22.63,26.88,18.78,1.73,5.43,7.09,4.13,0.00049005
2014-01-25,Montreal,23.04,25.48,20.95,1.11,5.52,7.22,1.83,0.00031363199999999994
2014-01-25,Calgary,22.82,25.41,20.06,1.7,4.13,7.11,0.46,0.00032643200000000004
2014-01-25,Ottawa,21.95,24.34,18.67,7.23,4.49,6.33,2.47,7.449799999999999e-05
2014-01-25,Edmonton,21.4,24.81,17.36,1.68,3.44,4.66,1.44,0.0006429780000000002
2014-01-25,Quebec City,22.77,25.99,19.19,0.32,4.24,6.08,3.09,0.0006612499999999999
2014-01-25,Winnipeg,23.67,26.63,21.2,14.18,6.74,8.98,5.43,0.0003612500000000001
2014-01-25,Hamilton,19.5,21.87,16.74,7.4,5.38,6.97,3.36,0.00021124999999999998
2014-01-25,Halifax,18.31,22.18,14.43,0.74,2.97,5.08,0.36,0.0007938000000000001
2014-01-26,Toronto,19.53,22.03,16.24,0.59,4.46,5.87,3.27,0.0007032979999999999
2014-01-26,Vancouver,19.51,20.56,18.84,0.13,4.48,7.58,1.27,0.000236672
2014-01-26,Montreal,20.85,22.42,18.63,9.9,5.97,14.66,1.64,0.000144722
2014-01-26,Calgary,17.12,21.76,12.79,3.8,8.16,12.21,4.09,0.00013312800000000002
2014-01-26,Ottawa,13.5,15.62,12.09,0.14,3.57,5.09,1.89,0.000228488
2014-01-26,Edmonton,13.49,15.65,11.47,2.0,6.14,9.65,3.69,0.000107648
2014-01-26,Quebec City,13.49,15.72,11.25,1.09,2.98,4.0,0.24,0.00025063200000000004
2014-01-26,Winnipeg,15.9,18.65,13.31,1.42,4.55,6.39,2.77,0.00013833799999999998
2014-01-26,Hamilton,15.56,19.03,13.1,1.31,4.48,5.36,2.92,0.000534578
2014-01-26,Halifax,15.92,18.93,12.72,0.3,4.25,5.21,3.31,0.0005491520000000002
2014-01-27,Toronto,13.53,15.57,11.97,0.14,3.69,6.41,0.3,0.00025063200000000004
2014-01-27,Vancouver,13.51,16.0,11.29,0.73,5.25,6.59,3.41,0.0005283919999999998
2014-01-27,Montreal,19.04,21.99,15.31,0.61,8.15,10.07,6.09,0.000392498
2014-01-27,Calgary,18.17,21.42,11.73,7.56,7.45,10.69,3.58,0.0003511220000000001
2014-01-27,Ottawa,12.62,16.01,10.08,0.64,6.77,10.05,5.1,0.000195938
2014-01-27,Edmonton,15.48,20.14,10.84,1.14,4.69,6.37,1.76,0.0005407999999999999
2014-01-27,Quebec City,17.17,20.27,14.91,0.99,2.85,5.92,0.22,0.0005491520000000002
2014-01-27,Winnipeg,17.08,19.47,15.1,0.51,2.08,2.77,0.73,0.0005201999999999999
2014-01-27,Hamilton,18.36,22.15,14.74,0.56,1.02,3.09,0.24,0.0005283919999999998
2014-01-27,Halifax,18.76,23.23,14.67,0.03,1.78,3.75,0.28,0.000482162
2014-01-28,Toronto,19.13,22.2,16.12,0.41,1.28,1.8,0.31,0.00038019200000000006
2014-01-28,Vancouver,18.82,21.65,16.28,0.5,2.65,4.84,0.91,0.0004176980000000001
2014-01-28,Montreal,17.35,19.51,15.69,1.67,2.86,4.45,1.83,4.3808000000000005e-05
2014-01-28,Calgary,16.23,17.92,14.87,0.17,4.9,6.01,3.75,2.5088000000000008e-05
