Date,City,Solar Irradiance (W/m²),Sunlight Hours
2014-01-12,Montreal,6.48,0.032400000000000005
2014-01-12,Calgary,7.44,0.037200000000000004
2014-01-12,Ottawa,2.95,0.014750000000000003
2014-01-12,Edmonton,3.07,0.015349999999999999
2014-01-12,Quebec City,6.9,0.0345
2014-01-12,Winnipeg,6.39,0.03195
2014-01-12,Hamilton,1.22,0.0060999999999999995
2014-01-12,Halifax,1.46,0.007299999999999999
2014-01-13,Toronto,4.82,0.024100000000000003
2014-01-13,Vancouver,2.85,0.01425
2014-01-13,Montreal,2.56,0.0128
2014-01-13,Calgary,6.68,0.0334
2014-01-13,Ottawa,5.49,0.027450000000000002
2014-01-13,Edmonton,7.76,0.0388
2014-01-13,Quebec City,5.2,0.026
2014-01-13,Winnipeg,5.64,0.0282
2014-01-13,Hamilton,4.41,0.02205
2014-01-13,Halifax,6.2,0.031
2014-01-14,Toronto,7.68,0.0384
2014-01-14,Vancouver,4.69,0.023450000000000002
2014-01-14,Montreal,5.73,0.028650000000000002
2014-01-14,Calgary,3.59,0.01795
2014-01-14,Ottawa,2.47,0.012350000000000002
2014-01-14,Edmonton,4.59,0.022949999999999998
2014-01-14,Quebec City,4.66,0.0233
2014-01-14,Winnipeg,5.84,0.029199999999999997
2014-01-14,Hamilton,5.86,0.029300000000000003
2014-01-14,Halifax,3.16,0.0158
2014-01-15,Toronto,5.34,0.0267
2014-01-15,Vancouver,6.24,0.0312
2014-01-15,Montreal,3.61,0.01805
2014-01-15,Calgary,7.66,0.0383
2014-01-15,Ottawa,7.87,0.03935
2014-01-15,Edmonton,7.24,0.036199999999999996
2014-01-15,Quebec City,5.13,0.02565
2014-01-15,Winnipeg,4.85,0.024249999999999997
2014-01-15,Hamilton,5.85,0.029249999999999998
2014-01-15,Halifax,7.16,0.035800000000000005
2014-01-16,Toronto,8.23,0.041150000000000006
2014-01-16,Vancouver,7.5,0.0375
2014-01-16,Montreal,6.02,0.030099999999999995
2014-01-16,Calgary,6.18,0.030899999999999997
2014-01-16,Ottawa,5.25,0.026250000000000002
2014-01-16,Edmonton,5.95,0.029750000000000002
2014-01-16,Quebec City,7.96,0.0398
2014-01-16,Winnipeg,8.57,0.04285
2014-01-16,Hamilton,2.01,0.010049999999999998
2014-01-16,Halifax,6.98,0.0349
2014-01-17,Toronto,5.72,0.028599999999999997
2014-01-17,Vancouver,3.82,0.0191
2014-01-17,Montreal,4.9,0.024500000000000004
2014-01-17,Calgary,4.05,0.020249999999999997
2014-01-17,Ottawa,6.5,0.0325
2014-01-17,Edmonton,8.42,0.0421
2014-01-17,Quebec City,6.21,0.03105
2014-01-17,Winnipeg,5.43,0.02715
2014-01-17,Hamilton,4.45,0.02225
2014-01-17,Halifax,8.24,0.0412
2014-01-18,Toronto,7.0,0.035
2014-01-18,Vancouver,8.02,0.0401
2014-01-18,Montreal,7.79,0.03895
2014-01-18,Calgary,4.68,0.0234
2014-01-18,Ottawa,4.8,0.023999999999999997
2014-01-18,Edmonton,3.39,0.01695
2014-01-18,Quebec City,7.35,0.03675
2014-01-18,Winnipeg,8.04,0.04019999999999999
2014-01-18,Hamilton,7.34,0.0367
2014-01-18,Halifax,6.47,0.032350000000000004
2014-01-19,Toronto,6.33,0.03165
2014-01-19,Vancouver,6.12,0.030600000000000002
2014-01-19,Montreal,5.95,0.029750000000000002
2014-01-19,Calgary,4.33,0.02165
2014-01-19,Ottawa,7.28,0.0364
2014-01-19,Edmonton,8.31,0.04155
2014-01-19,Quebec City,6.88,0.0344
2014-01-19,Winnipeg,4.44,0.0222
2014-01-19,Hamilton,3.29,0.01645
2014-01-19,Halifax,6.12,0.030600000000000002
2014-01-20,Toronto,6.97,0.03485
2014-01-20,Vancouver,7.88,0.0394
2014-01-20,Montreal,7.08,0.0354
2014-01-20,Calgary,5.06,0.025299999999999996
2014-01-20,Ottawa,4.3,0.0215
2014-01-20,Edmonton,6.11,0.03055
2014-01-20,Quebec City,5.2,0.026
2014-01-20,Winnipeg,6.39,0.03195
2014-01-20,Hamilton,7.43,0.03715
2014-01-20,Halifax,2.25,0.01125
2014-01-21,Toronto,3.88,0.0194
2014-01-21,Vancouver,7.03,0.03515
2014-01-21,Montreal,7.5,0.0375
2014-01-21,Calgary,4.12,0.0206
2014-01-21,Ottawa,7.85,0.03924999999999999
2014-01-21,Edmonton,7.12,0.0356
2014-01-21,Quebec City,5.16,0.025800000000000003
2014-01-21,Winnipeg,6.36,0.0318
2014-01-21,Hamilton,4.35,0.02175
2014-01-21,Halifax,4.79,0.02395
2014-01-22,Toronto,5.53,0.02765
2014-01-22,Vancouver,6.23,0.03115
2014-01-22,Montreal,6.17,0.030850000000000002
2014-01-22,Calgary,5.65,0.028250000000000004
2014-01-22,Ottawa,4.28,0.0214
2014-01-22,Edmonton,4.66,0.0233
2014-01-22,Quebec City,3.39,0.01695
2014-01-22,Winnipeg,6.42,0.032100000000000004
2014-01-22,Hamilton,6.47,0.032350000000000004
2014-01-22,Halifax,5.89,0.029449999999999997
2014-01-23,Toronto,6.93,0.03465
2014-01-23,Vancouver,6.94,0.0347
2014-01-23,Montreal,5.08,0.025400000000000002
2014-01-23,Calgary,3.89,0.019450000000000002
2014-01-23,Ottawa,4.94,0.024700000000000003
2014-01-23,Edmonton,4.24,0.0212
2014-01-23,Quebec City,5.33,0.02665
2014-01-23,Winnipeg,2.03,0.01015
2014-01-23,Hamilton,5.7,0.0285
2014-01-23,Halifax,6.22,0.0311
2014-01-24,Toronto,6.54,0.0327
2014-01-24,Vancouver,3.28,0.016399999999999998
2014-01-24,Montreal,4.93,0.02465
2014-01-24,Calgary,4.75,0.02375
2014-01-24,Ottawa,2.84,0.014199999999999997
2014-01-24,Edmonton,5.5,0.027499999999999997
2014-01-24,Quebec City,6.54,0.0327
2014-01-24,Winnipeg,5.68,0.028399999999999995
2014-01-24,Hamilton,5.49,0.027450000000000002
2014-01-24,Halifax,6.47,0.032350000000000004
2014-01-25,Toronto,5.46,0.027299999999999998
2014-01-25,Vancouver,4.95,0.02475
2014-01-25,Montreal,3.96,0.019799999999999998
2014-01-25,Calgary,4.04,0.020200000000000003
2014-01-25,Ottawa,1.93,0.009649999999999999
2014-01-25,Edmonton,5.67,0.02835
2014-01-25,Quebec City,5.75,0.028749999999999998
2014-01-25,Winnipeg,4.25,0.02125
2014-01-25,Hamilton,3.25,0.01625
2014-01-25,Halifax,6.3,0.0315
2014-01-26,Toronto,5.93,0.029649999999999996
2014-01-26,Vancouver,3.44,0.0172
2014-01-26,Montreal,2.69,0.01345
2014-01-26,Calgary,2.58,0.012900000000000002
2014-01-26,Ottawa,3.38,0.0169
2014-01-26,Edmonton,2.32,0.0116
2014-01-26,Quebec City,3.54,0.0177
2014-01-26,Winnipeg,2.63,0.01315
2014-01-26,Hamilton,5.17,0.02585
2014-01-26,Halifax,5.24,0.0262
2014-01-27,Toronto,3.54,0.0177
2014-01-27,Vancouver,5.14,0.025699999999999997
2014-01-27,Montreal,4.43,0.02215
2014-01-27,Calgary,4.19,0.02095
2014-01-27,Ottawa,3.13,0.01565
2014-01-27,Edmonton,5.2,0.026
2014-01-27,Quebec City,5.24,0.0262
2014-01-27,Winnipeg,5.1,0.0255
2014-01-27,Hamilton,5.14,0.025699999999999997
2014-01-27,Halifax,4.91,0.024550000000000002
2014-01-28,Toronto,4.36,0.0218
2014-01-28,Vancouver,4.57,0.022850000000000002
2014-01-28,Montreal,1.48,0.0074
2014-01-28,Calgary,1.12,0.005600000000000001
2014-01-28,Ottawa,2.74,0.0137
2014-01-28,Edmonton,2.5,0.0125
2014-01-28,Quebec City,2.73,0.013649999999999999
2014-01-28,Winnipeg,2.75,0.013749999999999998
2014-01-28,Hamilton,2.99,0.01495
2014-01-28,Halifax,3.07,0.015349999999999999
2014-01-29,Toronto,2.87,0.014350000000000002
2014-01-29,Vancouver,4.05,0.020249999999999997
2014-01-29,Montreal,3.75,0.01875
2014-01-29,Calgary,3.98,0.0199
2014-01-29,Ottawa,4.51,0.02255
2014-01-29,Edmonton,1.29,0.006450000000000001
2014-01-29,Quebec City,1.99,0.00995
2014-01-29,Winnipeg,1.06,0.0053
2014-01-29,Hamilton,2.32,0.0116
2014-01-29,Halifax,1.48,0.0074
2014-01-30,Toronto,1.69,0.00845
2014-01-30,Vancouver,3.02,0.0151
2014-01-30,Montreal,1.21,0.00605
2014-01-30,Calgary,0.62,0.0031
2014-01-30,Ottawa,2.85,0.01425
2014-01-30,Edmonton,3.81,0.01905
2014-01-30,Quebec City,3.4,0.016999999999999998
2014-01-30,Winnipeg,1.82,0.0091
2014-01-30,Hamilton,1.4,0.007
2014-01-30,Halifax,2.82,0.0141
2014-01-31,Toronto,1.57,0.00785
2014-01-31,Vancouver,1.82,0.0091
2014-01-31,Montreal,1.96,0.0098
2014-01-31,Calgary,0.78,0.0039
2014-01-31,Ottawa,1.17,0.00585
2014-01-31,Edmonton,3.43,0.017150000000000002
2014-01-31,Quebec City,2.29,0.01145
2014-01-31,Winnipeg,0.58,0.0029
2014-01-31,Hamilton,1.86,0.009300000000000001
2014-01-31,Halifax,1.13,0.00565
2014-02-01,Toronto,2.02,0.010100000000000001
2014-02-01,Vancouver,0.69,0.00345
2014-02-01,Montreal,1.6,0.008
2014-02-01,Calgary,1.91,0.00955
2014-02-01,Ottawa,2.72,0.013600000000000001
2014-02-01,Edmonton,1.12,0.005600000000000001
2014-02-01,Quebec City,1.24,0.0062
2014-02-01,Winnipeg,1.98,0.009899999999999999
2014-02-01,Hamilton,2.11,0.01055
2014-02-01,Halifax,0.77,0.00385
2014-02-02,Toronto,0.74,0.0037
2014-02-02,Vancouver,2.42,0.0121
2014-02-02,Montreal,1.13,0.00565
2014-02-02,Calgary,1.92,0.0096
2014-02-02,Ottawa,1.85,0.009250000000000001
2014-02-02,Edmonton,0.4,0.002
2014-02-02,Quebec City,0.81,0.004050000000000001
2014-02-02,Winnipeg,1.02,0.0051
2014-02-02,Hamilton,0.53,0.00265
2014-02-02,Halifax,0.51,0.00255
2014-02-03,Toronto,1.4,0.007
2014-02-03,Vancouver,1.19,0.0059499999999999996
2014-02-03,Montreal,1.35,0.006750000000000001
2014-02-03,Calgary,0.89,0.00445
2014-02-03,Ottawa,1.69,0.00845
2014-02-03,Edmonton,1.16,0.0058
2014-02-03,Quebec City,0.72,0.0036
2014-02-03,Winnipeg,2.02,0.010100000000000001
2014-02-03,Hamilton,1.2,0.005999999999999999
2014-02-03,Halifax,1.37,0.00685
2014-02-04,Toronto,2.26,0.0113
2014-02-04,Vancouver,1.32,0.0066
2014-02-04,Montreal,0.75,0.00375
2014-02-04,Calgary,1.51,0.00755
2014-02-04,Ottawa,0.32,0.0016
2014-02-04,Edmonton,1.5,0.0075
2014-02-04,Quebec City,0.65,0.00325
2014-02-04,Winnipeg,0.8,0.004
2014-02-04,Hamilton,0.88,0.0044
2014-02-04,Halifax,0.5,0.0025
2014-02-05,Toronto,0.81,0.004050000000000001
2014-02-05,Vancouver,0.8,0.004
2014-02-05,Montreal,1.43,0.007149999999999999
2014-02-05,Calgary,1.98,0.009899999999999999
2014-02-05,Ottawa,1.65,0.00825
2014-02-05,Edmonton,1.63,0.00815
2014-02-05,Quebec City,0.79,0.00395
2014-02-05,Winnipeg,0.34,0.0017000000000000001
2014-02-05,Hamilton,0.86,0.0043
2014-02-05,Halifax,1.65,0.00825
2014-02-06,Toronto,1.31,0.00655
2014-02-06,Vancouver,1.09,0.00545
2014-02-06,Montreal,1.05,0.005250000000000001
2014-02-06,Calgary,1.27,0.006350000000000001
2014-02-06,Ottawa,1.77,0.00885
2014-02-06,Edmonton,0.74,0.0037
2014-02-06,Quebec City,1.84,0.0092
2014-02-06,Winnipeg,0.41,0.0020499999999999997
2014-02-06,Hamilton,0.72,0.0036
2014-02-06,Halifax,1.6,0.008
2014-02-07,Toronto,1.45,0.0072499999999999995
2014-02-07,Vancouver,1.56,0.0078
2014-02-07,Montreal,1.19,0.0059499999999999996
2014-02-07,Calgary,1.62,0.008100000000000001
2014-02-07,Ottawa,1.77,0.00885
2014-02-07,Edmonton,1.41,0.00705
2014-02-07,Quebec City,0.83,0.00415
2014-02-07,Winnipeg,2.06,0.0103
2014-02-07,Hamilton,2.14,0.0107
2014-02-07,Halifax,1.63,0.00815
2014-02-08,Toronto,2.29,0.01145
2014-02-08,Vancouver,1.44,0.0072
2014-02-08,Montreal,0.93,0.0046500000000000005
2014-02-08,Calgary,1.7,0.008499999999999999
2014-02-08,Ottawa,2.51,0.012549999999999999
2014-02-08,Edmonton,1.5,0.0075
2014-02-08,Quebec City,2.57,0.012849999999999999
2014-02-08,Winnipeg,2.51,0.012549999999999999
2014-02-08,Hamilton,0.64,0.0032
2014-02-08,Halifax,2.86,0.014299999999999998
2014-02-09,Toronto,1.8,0.009
2014-02-09,Vancouver,2.26,0.0113
2014-02-09,Montreal,2.9,0.014499999999999999
2014-02-09,Calgary,0.29,0.00145
2014-02-09,Ottawa,2.64,0.0132
2014-02-09,Edmonton,1.82,0.0091
2014-02-09,Quebec City,0.72,0.0036
2014-02-09,Winnipeg,1.65,0.00825
2014-02-09,Hamilton,1.99,0.00995
2014-02-09,Halifax,0.47,0.00235
2014-02-10,Toronto,2.95,0.014750000000000003
2014-02-10,Vancouver,2.17,0.01085
2014-02-10,Montreal,0.68,0.0034000000000000002
2014-02-10,Calgary,0.38,0.0019000000000000002
2014-02-10,Ottawa,1.12,0.005600000000000001
2014-02-10,Edmonton,2.09,0.01045
2014-02-10,Quebec City,1.22,0.0060999999999999995
2014-02-10,Winnipeg,3.16,0.0158
2014-02-10,Hamilton,2.58,0.012900000000000002
2014-02-10,Halifax,1.59,0.00795
2014-02-11,Toronto,2.43,0.012150000000000001
2014-02-11,Vancouver,3.13,0.01565
2014-02-11,Montreal,2.52,0.0126
2014-02-11,Calgary,1.97,0.00985
2014-02-11,Ottawa,3.11,0.01555
2014-02-11,Edmonton,2.91,0.01455
2014-02-11,Quebec City,0.82,0.0040999999999999995
2014-02-11,Winnipeg,1.78,0.0089
2014-02-11,Hamilton,2.7,0.013500000000000002
2014-02-11,Halifax,2.62,0.0131
2014-02-12,Toronto,3.47,0.01735
2014-02-12,Vancouver,2.73,0.013649999999999999
2014-02-12,Montreal,3.7,0.018500000000000003
2014-02-12,Calgary,3.39,0.01695
2014-02-12,Ottawa,1.71,0.00855
2014-02-12,Edmonton,2.82,0.0141
2014-02-12,Quebec City,0.56,0.0028000000000000004
2014-02-12,Winnipeg,2.1,0.010500000000000002
2014-02-12,Hamilton,3.3,0.0165
2014-02-12,Halifax,3.73,0.01865
2014-02-13,Toronto,2.12,0.0106
2014-02-13,Vancouver,3.69,0.01845
2014-02-13,Montreal,4.83,0.02415
2014-02-13,Calgary,1.83,0.00915
2014-02-13,Ottawa,4.83,0.02415
2014-02-13,Edmonton,5.15,0.025750000000000002
2014-02-13,Quebec City,3.91,0.01955
2014-02-13,Winnipeg,1.58,0.0079
2014-02-13,Hamilton,3.66,0.0183
2014-02-13,Halifax,2.66,0.0133
2014-02-14,Toronto,5.21,0.02605
2014-02-14,Vancouver,4.78,0.0239
2014-02-14,Montreal,5.52,0.0276
2014-02-14,Calgary,5.08,0.025400000000000002
2014-02-14,Ottawa,3.54,0.0177
2014-02-14,Edmonton,5.79,0.02895
2014-02-14,Quebec City,5.99,0.029950000000000004
2014-02-14,Winnipeg,6.08,0.030400000000000003
2014-02-14,Hamilton,1.05,0.005250000000000001
2014-02-14,Halifax,1.58,0.0079
2014-02-15,Toronto,3.6,0.018
2014-02-15,Vancouver,6.4,0.032
2014-02-15,Montreal,6.16,0.0308
2014-02-15,Calgary,3.32,0.0166
2014-02-15,Ottawa,4.69,0.023450000000000002
2014-02-15,Edmonton,6.14,0.030699999999999998
2014-02-15,Quebec City,3.62,0.018099999999999998
2014-02-15,Winnipeg,3.67,0.01835
2014-02-15,Hamilton,5.38,0.0269
2014-02-15,Halifax,2.54,0.012700000000000001
2014-02-16,Toronto,4.46,0.022299999999999997
2014-02-16,Vancouver,3.63,0.01815
2014-02-16,Montreal,0.71,0.0035499999999999993
2014-02-16,Calgary,1.32,0.0066
2014-02-16,Ottawa,3.07,0.015349999999999999
2014-02-16,Edmonton,5.03,0.025150000000000002
2014-02-16,Quebec City,6.68,0.0334
2014-02-16,Winnipeg,5.07,0.025349999999999998
2014-02-16,Hamilton,6.06,0.030299999999999997
2014-02-16,Halifax,7.05,0.03525
2014-02-17,Toronto,5.39,0.026949999999999998
2014-02-17,Vancouver,6.21,0.03105
2014-02-17,Montreal,6.93,0.03465
2014-02-17,Calgary,6.11,0.03055
2014-02-17,Ottawa,2.38,0.011899999999999999
2014-02-17,Edmonton,4.58,0.0229
2014-02-17,Quebec City,3.19,0.01595
2014-02-17,Winnipeg,2.89,0.014450000000000001
2014-02-17,Hamilton,5.66,0.0283
2014-02-17,Halifax,7.51,0.03755
2014-02-18,Toronto,5.87,0.02935
2014-02-18,Vancouver,3.7,0.018500000000000003
2014-02-18,Montreal,7.11,0.03555
2014-02-18,Calgary,6.84,0.0342
2014-02-18,Ottawa,5.59,0.027949999999999996
2014-02-18,Edmonton,5.75,0.028749999999999998
2014-02-18,Quebec City,7.26,0.0363
2014-02-18,Winnipeg,6.6,0.033
2014-02-18,Hamilton,3.48,0.0174
2014-02-18,Halifax,3.66,0.0183
2014-02-19,Toronto,7.12,0.0356
2014-02-19,Vancouver,7.43,0.03715
2014-02-19,Montreal,6.79,0.03395
2014-02-19,Calgary,5.95,0.029750000000000002
2014-02-19,Ottawa,4.85,0.024249999999999997
2014-02-19,Edmonton,4.83,0.02415
2014-02-19,Quebec City,3.09,0.015449999999999998
2014-02-19,Winnipeg,4.42,0.0221
2014-02-19,Hamilton,8.05,0.04025
2014-02-19,Halifax,2.6,0.013
2014-02-20,Toronto,5.51,0.02755
2014-02-20,Vancouver,7.06,0.0353
2014-02-20,Montreal,5.66,0.0283
2014-02-20,Calgary,4.8,0.023999999999999997
2014-02-20,Ottawa,8.24,0.0412
2014-02-20,Edmonton,7.49,0.03745
2014-02-20,Quebec City,7.54,0.0377
2014-02-20,Winnipeg,8.41,0.042050000000000004
2014-02-20,Hamilton,6.55,0.032749999999999994
2014-02-20,Halifax,5.09,0.02545
2014-02-21,Toronto,6.69,0.03345
2014-02-21,Vancouver,6.06,0.030299999999999997
2014-02-21,Montreal,7.83,0.039150000000000004
2014-02-21,Calgary,5.89,0.029449999999999997
2014-02-21,Ottawa,5.35,0.02675
2014-02-21,Edmonton,1.8,0.009
2014-02-21,Quebec City,4.14,0.020699999999999996
2014-02-21,Winnipeg,8.28,0.04139999999999999
2014-02-21,Hamilton,8.43,0.04215
2014-02-21,Halifax,6.95,0.03475
2014-02-22,Toronto,4.87,0.02435
2014-02-22,Vancouver,8.64,0.0432
2014-02-22,Montreal,6.74,0.0337
2014-02-22,Calgary,2.83,0.01415
2014-02-22,Ottawa,4.47,0.022350000000000002
2014-02-22,Edmonton,5.55,0.02775
2014-02-22,Quebec City,6.84,0.0342
2014-02-22,Winnipeg,2.71,0.013550000000000001
2014-02-22,Hamilton,6.12,0.030600000000000002
2014-02-22,Halifax,2.4,0.011999999999999999
2014-02-23,Toronto,4.85,0.024249999999999997
2014-02-23,Vancouver,7.31,0.03655
2014-02-23,Montreal,7.26,0.0363
2014-02-23,Calgary,6.37,0.031849999999999996
2014-02-23,Ottawa,6.61,0.03305
2014-02-23,Edmonton,7.01,0.03505
2014-02-23,Quebec City,6.61,0.03305
2014-02-23,Winnipeg,7.07,0.03535
2014-02-23,Hamilton,6.86,0.034300000000000004
2014-02-23,Halifax,8.03,0.04014999999999999
2014-02-24,Toronto,5.17,0.02585
2014-02-24,Vancouver,7.5,0.0375
2014-02-24,Montreal,1.23,0.00615
2014-02-24,Calgary,2.37,0.011850000000000001
2014-02-24,Ottawa,7.31,0.03655
2014-02-24,Edmonton,2.97,0.01485
2014-02-24,Quebec City,5.23,0.02615
2014-02-24,Winnipeg,7.55,0.03775
2014-02-24,Hamilton,7.65,0.038250000000000006
2014-02-24,Halifax,7.28,0.0364
2014-02-25,Toronto,6.6,0.033
2014-02-25,Vancouver,6.78,0.0339
2014-02-25,Montreal,3.47,0.01735
2014-02-25,Calgary,6.17,0.030850000000000002
2014-02-25,Ottawa,4.27,0.021349999999999997
2014-02-25,Edmonton,7.4,0.037000000000000005
2014-02-25,Quebec City,7.66,0.0383
2014-02-25,Winnipeg,6.2,0.031
2014-02-25,Hamilton,7.13,0.03565
2014-02-25,Halifax,3.0,0.015
2014-02-26,Toronto,7.74,0.0387
2014-02-26,Vancouver,7.95,0.03975
2014-02-26,Montreal,1.91,0.00955
2014-02-26,Calgary,6.42,0.032100000000000004
2014-02-26,Ottawa,6.09,0.030449999999999998
2014-02-26,Edmonton,6.39,0.03195
2014-02-26,Quebec City,7.54,0.0377
2014-02-26,Winnipeg,7.47,0.03735
2014-02-26,Hamilton,7.52,0.0376
2014-02-26,Halifax,7.11,0.03555
2014-02-27,Toronto,5.58,0.0279
2014-02-27,Vancouver,6.86,0.034300000000000004
2014-02-27,Montreal,7.43,0.03715
2014-02-27,Calgary,7.3,0.0365
2014-02-27,Ottawa,6.63,0.03315
2014-02-27,Edmonton,7.39,0.03695
2014-02-27,Quebec City,6.79,0.03395
2014-02-27,Winnipeg,6.55,0.032749999999999994
2014-02-27,Hamilton,6.42,0.032100000000000004
2014-02-27,Halifax,6.3,0.0315
2014-02-28,Toronto,5.38,0.0269
2014-02-28,Vancouver,6.34,0.0317
2014-02-28,Montreal,6.36,0.0318
2014-02-28,Calgary,6.82,0.034100000000000005
2014-02-28,Ottawa,3.92,0.0196
2014-02-28,Edmonton,7.26,0.0363
2014-02-28,Quebec City,2.54,0.012700000000000001
2014-02-28,Winnipeg,6.1,0.0305
2014-02-28,Hamilton,5.97,0.029849999999999998
2014-02-28,Halifax,6.35,0.03175
2014-03-01,Toronto,2.74,0.021920000000000002
2014-03-01,Vancouver,6.23,0.04984
2014-03-01,Montreal,6.65,0.053200000000000004
2014-03-01,Calgary,6.25,0.05
2014-03-01,Ottawa,2.87,0.02296
2014-03-01,Edmonton,5.73,0.045840000000000006
2014-03-01,Quebec City,3.42,0.02736
2014-03-01,Winnipeg,4.55,0.0364
2014-03-01,Hamilton,6.8,0.0544
2014-03-01,Halifax,6.41,0.05128
2014-03-02,Toronto,4.98,0.03984
2014-03-02,Vancouver,3.86,0.030879999999999998
2014-03-02,Montreal,3.09,0.02472
2014-03-02,Calgary,3.56,0.028480000000000002
